VISIT,VISITNUM,TRTA,TRTAN,PARAM,PARAMCD,comment,lsmeans,lsmeans_stderr,covariatestructure,Effect
UNSCHEDULED 5.1,5.1,Placebo,0,Eosinophils (GI/L),EOS,,,,Heterogeneous Compound Symmetry,TRTAN*VISITNUM
UNSCHEDULED 5.1,5.1,Xanomeline Low Dose,54,Eosinophils (GI/L),EOS,,,,Heterogeneous Compound Symmetry,TRTAN*VISITNUM
WEEK 6,7,Placebo,0,Eosinophils (GI/L),EOS,,-0.01631,0.01685,Heterogeneous Compound Symmetry,TRTAN*VISITNUM
WEEK 6,7,Xanomeline Low Dose,54,Eosinophils (GI/L),EOS,,0.07304,0.01837,Heterogeneous Compound Symmetry,TRTAN*VISITNUM
WEEK 6,7,Xanomeline High Dose,81,Eosinophils (GI/L),EOS,,0.1034,0.01802,Heterogeneous Compound Symmetry,TRTAN*VISITNUM
UNSCHEDULED 7.1,7.1,Xanomeline Low Dose,54,Eosinophils (GI/L),EOS,,0.05090,0.000271,Heterogeneous Compound Symmetry,TRTAN*VISITNUM
UNSCHEDULED 7.1,7.1,Xanomeline High Dose,81,Eosinophils (GI/L),EOS,,0.04839,0.000440,Heterogeneous Compound Symmetry,TRTAN*VISITNUM
WEEK 8,8,Placebo,0,Eosinophils (GI/L),EOS,,-0.02156,0.01657,Heterogeneous Compound Symmetry,TRTAN*VISITNUM
WEEK 8,8,Xanomeline Low Dose,54,Eosinophils (GI/L),EOS,,0.1566,0.01832,Heterogeneous Compound Symmetry,TRTAN*VISITNUM
WEEK 8,8,Xanomeline High Dose,81,Eosinophils (GI/L),EOS,,0.09560,0.01845,Heterogeneous Compound Symmetry,TRTAN*VISITNUM
UNSCHEDULED 8.2,8.2,Placebo,0,Eosinophils (GI/L),EOS,,-0.00737,0.000304,Heterogeneous Compound Symmetry,TRTAN*VISITNUM
UNSCHEDULED 8.2,8.2,Xanomeline Low Dose,54,Eosinophils (GI/L),EOS,,0.03075,0.000392,Heterogeneous Compound Symmetry,TRTAN*VISITNUM
WEEK 12,9,Placebo,0,Eosinophils (GI/L),EOS,,-0.03088,0.01439,Heterogeneous Compound Symmetry,TRTAN*VISITNUM
WEEK 12,9,Xanomeline Low Dose,54,Eosinophils (GI/L),EOS,,0.1050,0.01633,Heterogeneous Compound Symmetry,TRTAN*VISITNUM
WEEK 12,9,Xanomeline High Dose,81,Eosinophils (GI/L),EOS,,0.09760,0.01624,Heterogeneous Compound Symmetry,TRTAN*VISITNUM
UNSCHEDULED 9.2,9.2,Placebo,0,Eosinophils (GI/L),EOS,,-0.02679,0.000271,Heterogeneous Compound Symmetry,TRTAN*VISITNUM
UNSCHEDULED 9.2,9.2,Xanomeline High Dose,81,Eosinophils (GI/L),EOS,,-0.01152,0.000888,Heterogeneous Compound Symmetry,TRTAN*VISITNUM
WEEK 16,10,Placebo,0,Eosinophils (GI/L),EOS,,-0.03873,0.01230,Heterogeneous Compound Symmetry,TRTAN*VISITNUM
WEEK 16,10,Xanomeline Low Dose,54,Eosinophils (GI/L),EOS,,0.06382,0.01528,Heterogeneous Compound Symmetry,TRTAN*VISITNUM
WEEK 16,10,Xanomeline High Dose,81,Eosinophils (GI/L),EOS,,0.06030,0.01577,Heterogeneous Compound Symmetry,TRTAN*VISITNUM
WEEK 20,11,Placebo,0,Eosinophils (GI/L),EOS,,-0.04096,0.01147,Heterogeneous Compound Symmetry,TRTAN*VISITNUM
WEEK 20,11,Xanomeline Low Dose,54,Eosinophils (GI/L),EOS,,0.05525,0.01578,Heterogeneous Compound Symmetry,TRTAN*VISITNUM
WEEK 20,11,Xanomeline High Dose,81,Eosinophils (GI/L),EOS,,0.01389,0.01540,Heterogeneous Compound Symmetry,TRTAN*VISITNUM
WEEK 24,12,Placebo,0,Eosinophils (GI/L),EOS,,-0.03036,0.01192,Heterogeneous Compound Symmetry,TRTAN*VISITNUM
WEEK 24,12,Xanomeline Low Dose,54,Eosinophils (GI/L),EOS,,0.03990,0.01700,Heterogeneous Compound Symmetry,TRTAN*VISITNUM
WEEK 24,12,Xanomeline High Dose,81,Eosinophils (GI/L),EOS,,0.03521,0.01578,Heterogeneous Compound Symmetry,TRTAN*VISITNUM
UNSCHEDULED 12.1,12.1,Placebo,0,Eosinophils (GI/L),EOS,,,,Heterogeneous Compound Symmetry,TRTAN*VISITNUM
UNSCHEDULED 12.1,12.1,Xanomeline Low Dose,54,Eosinophils (GI/L),EOS,,,,Heterogeneous Compound Symmetry,TRTAN*VISITNUM
WEEK 26,13,Placebo,0,Eosinophils (GI/L),EOS,,-0.04087,0.01104,Heterogeneous Compound Symmetry,TRTAN*VISITNUM
WEEK 26,13,Xanomeline Low Dose,54,Eosinophils (GI/L),EOS,,0.03464,0.01564,Heterogeneous Compound Symmetry,TRTAN*VISITNUM
WEEK 26,13,Xanomeline High Dose,81,Eosinophils (GI/L),EOS,,0.009007,0.01524,Heterogeneous Compound Symmetry,TRTAN*VISITNUM
,,,,Eosinophils (GI/L),EOS,Did not converge or Unable to make Hessian positive definite,,,Toeplitz,
,,,,Eosinophils (GI/L),EOS,Did not converge or Unable to make Hessian positive definite,,,Unstructured,
,,,,Hematocrit,HCT,Did not converge or Unable to make Hessian positive definite,,,Compound Symmetry,
,,,,Hematocrit,HCT,Did not converge or Unable to make Hessian positive definite,,,First Order Autoregressive,
,,,,Hematocrit,HCT,Did not converge or Unable to make Hessian positive definite,,,Toeplitz,
,,,,Hematocrit,HCT,Did not converge or Unable to make Hessian positive definite,,,Unstructured,
,,,,Hemoglobin (mmol/L),HGB,Did not converge or Unable to make Hessian positive definite,,,Compound Symmetry,
,,,,Hemoglobin (mmol/L),HGB,Did not converge or Unable to make Hessian positive definite,,,First Order Autoregressive,
,,,,Hemoglobin (mmol/L),HGB,Did not converge or Unable to make Hessian positive definite,,,Toeplitz,
,,,,Hemoglobin (mmol/L),HGB,Did not converge or Unable to make Hessian positive definite,,,Unstructured,
,,,,Lymphocytes (GI/L),LYM,Did not converge or Unable to make Hessian positive definite,,,Compound Symmetry,
,,,,Lymphocytes (GI/L),LYM,Did not converge or Unable to make Hessian positive definite,,,First Order Autoregressive,
,_,Placebo,0,Lymphocytes (GI/L),LYM,,,,Heterogeneous Compound Symmetry,TRTAN
,_,Xanomeline Low Dose,54,Lymphocytes (GI/L),LYM,,,,Heterogeneous Compound Symmetry,TRTAN
,_,Xanomeline High Dose,81,Lymphocytes (GI/L),LYM,,,,Heterogeneous Compound Symmetry,TRTAN
UNSCHEDULED 1.1,1.1,Placebo,0,Lymphocytes (GI/L),LYM,,-0.04896,0.1005,Heterogeneous Compound Symmetry,TRTAN*VISITNUM
UNSCHEDULED 1.1,1.1,Xanomeline Low Dose,54,Lymphocytes (GI/L),LYM,,-0.07518,0.09674,Heterogeneous Compound Symmetry,TRTAN*VISITNUM
UNSCHEDULED 1.1,1.1,Xanomeline High Dose,81,Lymphocytes (GI/L),LYM,,0.09352,0.09626,Heterogeneous Compound Symmetry,TRTAN*VISITNUM
UNSCHEDULED 1.2,1.2,Xanomeline Low Dose,54,Lymphocytes (GI/L),LYM,,0.6060,0.001743,Heterogeneous Compound Symmetry,TRTAN*VISITNUM
UNSCHEDULED 1.2,1.2,Xanomeline High Dose,81,Lymphocytes (GI/L),LYM,,0.1712,0.002522,Heterogeneous Compound Symmetry,TRTAN*VISITNUM
UNSCHEDULED 1.3,1.3,Placebo,0,Lymphocytes (GI/L),LYM,,,,Heterogeneous Compound Symmetry,TRTAN*VISITNUM
WEEK 2,4,Placebo,0,Lymphocytes (GI/L),LYM,,-0.09962,0.03779,Heterogeneous Compound Symmetry,TRTAN*VISITNUM
WEEK 2,4,Xanomeline Low Dose,54,Lymphocytes (GI/L),LYM,,0.02643,0.03891,Heterogeneous Compound Symmetry,TRTAN*VISITNUM
WEEK 2,4,Xanomeline High Dose,81,Lymphocytes (GI/L),LYM,,0.01441,0.03910,Heterogeneous Compound Symmetry,TRTAN*VISITNUM
UNSCHEDULED 4.1,4.1,Placebo,0,Lymphocytes (GI/L),LYM,,,,Heterogeneous Compound Symmetry,TRTAN*VISITNUM
UNSCHEDULED 4.1,4.1,Xanomeline Low Dose,54,Lymphocytes (GI/L),LYM,,,,Heterogeneous Compound Symmetry,TRTAN*VISITNUM
WEEK 4,5,Placebo,0,Lymphocytes (GI/L),LYM,,-0.01328,0.04179,Heterogeneous Compound Symmetry,TRTAN*VISITNUM
WEEK 4,5,Xanomeline Low Dose,54,Lymphocytes (GI/L),LYM,,0.01313,0.04438,Heterogeneous Compound Symmetry,TRTAN*VISITNUM
WEEK 4,5,Xanomeline High Dose,81,Lymphocytes (GI/L),LYM,,-0.03715,0.04451,Heterogeneous Compound Symmetry,TRTAN*VISITNUM
UNSCHEDULED 5.1,5.1,Placebo,0,Lymphocytes (GI/L),LYM,,,,Heterogeneous Compound Symmetry,TRTAN*VISITNUM
UNSCHEDULED 5.1,5.1,Xanomeline Low Dose,54,Lymphocytes (GI/L),LYM,,,,Heterogeneous Compound Symmetry,TRTAN*VISITNUM
WEEK 6,7,Placebo,0,Lymphocytes (GI/L),LYM,,-0.00117,0.04192,Heterogeneous Compound Symmetry,TRTAN*VISITNUM
WEEK 6,7,Xanomeline Low Dose,54,Lymphocytes (GI/L),LYM,,0.04861,0.04595,Heterogeneous Compound Symmetry,TRTAN*VISITNUM
WEEK 6,7,Xanomeline High Dose,81,Lymphocytes (GI/L),LYM,,-0.03302,0.04504,Heterogeneous Compound Symmetry,TRTAN*VISITNUM
UNSCHEDULED 7.1,7.1,Xanomeline Low Dose,54,Lymphocytes (GI/L),LYM,,0.3143,0.001090,Heterogeneous Compound Symmetry,TRTAN*VISITNUM
UNSCHEDULED 7.1,7.1,Xanomeline High Dose,81,Lymphocytes (GI/L),LYM,,-0.7923,0.002820,Heterogeneous Compound Symmetry,TRTAN*VISITNUM
WEEK 8,8,Placebo,0,Lymphocytes (GI/L),LYM,,-0.00562,0.04267,Heterogeneous Compound Symmetry,TRTAN*VISITNUM
WEEK 8,8,Xanomeline Low Dose,54,Lymphocytes (GI/L),LYM,,0.06569,0.04756,Heterogeneous Compound Symmetry,TRTAN*VISITNUM
WEEK 8,8,Xanomeline High Dose,81,Lymphocytes (GI/L),LYM,,-0.03607,0.04806,Heterogeneous Compound Symmetry,TRTAN*VISITNUM
UNSCHEDULED 8.2,8.2,Placebo,0,Lymphocytes (GI/L),LYM,,-0.2474,0.001282,Heterogeneous Compound Symmetry,TRTAN*VISITNUM
UNSCHEDULED 8.2,8.2,Xanomeline Low Dose,54,Lymphocytes (GI/L),LYM,,0.7543,0.001232,Heterogeneous Compound Symmetry,TRTAN*VISITNUM
WEEK 12,9,Placebo,0,Lymphocytes (GI/L),LYM,,-0.07803,0.04051,Heterogeneous Compound Symmetry,TRTAN*VISITNUM
WEEK 12,9,Xanomeline Low Dose,54,Lymphocytes (GI/L),LYM,,-0.04675,0.04653,Heterogeneous Compound Symmetry,TRTAN*VISITNUM
WEEK 12,9,Xanomeline High Dose,81,Lymphocytes (GI/L),LYM,,-0.06098,0.04617,Heterogeneous Compound Symmetry,TRTAN*VISITNUM
UNSCHEDULED 9.2,9.2,Placebo,0,Lymphocytes (GI/L),LYM,,-0.1606,0.000711,Heterogeneous Compound Symmetry,TRTAN*VISITNUM
UNSCHEDULED 9.2,9.2,Xanomeline High Dose,81,Lymphocytes (GI/L),LYM,,0.3932,0.001051,Heterogeneous Compound Symmetry,TRTAN*VISITNUM
WEEK 16,10,Placebo,0,Lymphocytes (GI/L),LYM,,-0.05483,0.04034,Heterogeneous Compound Symmetry,TRTAN*VISITNUM
WEEK 16,10,Xanomeline Low Dose,54,Lymphocytes (GI/L),LYM,,-0.06216,0.05117,Heterogeneous Compound Symmetry,TRTAN*VISITNUM
WEEK 16,10,Xanomeline High Dose,81,Lymphocytes (GI/L),LYM,,0.000431,0.05282,Heterogeneous Compound Symmetry,TRTAN*VISITNUM
WEEK 20,11,Placebo,0,Lymphocytes (GI/L),LYM,,-0.08530,0.04270,Heterogeneous Compound Symmetry,TRTAN*VISITNUM
WEEK 20,11,Xanomeline Low Dose,54,Lymphocytes (GI/L),LYM,,-0.06471,0.06015,Heterogeneous Compound Symmetry,TRTAN*VISITNUM
WEEK 20,11,Xanomeline High Dose,81,Lymphocytes (GI/L),LYM,,-0.04007,0.05841,Heterogeneous Compound Symmetry,TRTAN*VISITNUM
WEEK 24,12,Placebo,0,Lymphocytes (GI/L),LYM,,-0.03106,0.04808,Heterogeneous Compound Symmetry,TRTAN*VISITNUM
WEEK 24,12,Xanomeline Low Dose,54,Lymphocytes (GI/L),LYM,,0.01537,0.07034,Heterogeneous Compound Symmetry,TRTAN*VISITNUM
WEEK 24,12,Xanomeline High Dose,81,Lymphocytes (GI/L),LYM,,-0.05244,0.06468,Heterogeneous Compound Symmetry,TRTAN*VISITNUM
UNSCHEDULED 12.1,12.1,Placebo,0,Lymphocytes (GI/L),LYM,,,,Heterogeneous Compound Symmetry,TRTAN*VISITNUM
UNSCHEDULED 12.1,12.1,Xanomeline Low Dose,54,Lymphocytes (GI/L),LYM,,,,Heterogeneous Compound Symmetry,TRTAN*VISITNUM
WEEK 26,13,Placebo,0,Lymphocytes (GI/L),LYM,,-0.00686,0.04606,Heterogeneous Compound Symmetry,TRTAN*VISITNUM
WEEK 26,13,Xanomeline Low Dose,54,Lymphocytes (GI/L),LYM,,-0.09725,0.06692,Heterogeneous Compound Symmetry,TRTAN*VISITNUM
WEEK 26,13,Xanomeline High Dose,81,Lymphocytes (GI/L),LYM,,0.09371,0.06466,Heterogeneous Compound Symmetry,TRTAN*VISITNUM
,_,Placebo,0,Lymphocytes (GI/L),LYM,,,,Heterogeneous First Order Autoregressive,TRTAN
,_,Xanomeline Low Dose,54,Lymphocytes (GI/L),LYM,,,,Heterogeneous First Order Autoregressive,TRTAN
,_,Xanomeline High Dose,81,Lymphocytes (GI/L),LYM,,,,Heterogeneous First Order Autoregressive,TRTAN
UNSCHEDULED 1.1,1.1,Placebo,0,Lymphocytes (GI/L),LYM,,-0.03241,0.1144,Heterogeneous First Order Autoregressive,TRTAN*VISITNUM
UNSCHEDULED 1.1,1.1,Xanomeline Low Dose,54,Lymphocytes (GI/L),LYM,,-0.08497,0.1107,Heterogeneous First Order Autoregressive,TRTAN*VISITNUM
UNSCHEDULED 1.1,1.1,Xanomeline High Dose,81,Lymphocytes (GI/L),LYM,,0.05267,0.1088,Heterogeneous First Order Autoregressive,TRTAN*VISITNUM
UNSCHEDULED 1.2,1.2,Xanomeline Low Dose,54,Lymphocytes (GI/L),LYM,,0.6060,0.001607,Heterogeneous First Order Autoregressive,TRTAN*VISITNUM
UNSCHEDULED 1.2,1.2,Xanomeline High Dose,81,Lymphocytes (GI/L),LYM,,0.1718,0.002390,Heterogeneous First Order Autoregressive,TRTAN*VISITNUM
UNSCHEDULED 1.3,1.3,Placebo,0,Lymphocytes (GI/L),LYM,,,,Heterogeneous First Order Autoregressive,TRTAN*VISITNUM
WEEK 2,4,Placebo,0,Lymphocytes (GI/L),LYM,,-0.09961,0.03871,Heterogeneous First Order Autoregressive,TRTAN*VISITNUM
WEEK 2,4,Xanomeline Low Dose,54,Lymphocytes (GI/L),LYM,,0.02661,0.03991,Heterogeneous First Order Autoregressive,TRTAN*VISITNUM
WEEK 2,4,Xanomeline High Dose,81,Lymphocytes (GI/L),LYM,,0.01698,0.04009,Heterogeneous First Order Autoregressive,TRTAN*VISITNUM
UNSCHEDULED 4.1,4.1,Placebo,0,Lymphocytes (GI/L),LYM,,,,Heterogeneous First Order Autoregressive,TRTAN*VISITNUM
UNSCHEDULED 4.1,4.1,Xanomeline Low Dose,54,Lymphocytes (GI/L),LYM,,,,Heterogeneous First Order Autoregressive,TRTAN*VISITNUM
WEEK 4,5,Placebo,0,Lymphocytes (GI/L),LYM,,-0.01154,0.04244,Heterogeneous First Order Autoregressive,TRTAN*VISITNUM
WEEK 4,5,Xanomeline Low Dose,54,Lymphocytes (GI/L),LYM,,0.01380,0.04503,Heterogeneous First Order Autoregressive,TRTAN*VISITNUM
WEEK 4,5,Xanomeline High Dose,81,Lymphocytes (GI/L),LYM,,-0.03634,0.04517,Heterogeneous First Order Autoregressive,TRTAN*VISITNUM
UNSCHEDULED 5.1,5.1,Placebo,0,Lymphocytes (GI/L),LYM,,,,Heterogeneous First Order Autoregressive,TRTAN*VISITNUM
UNSCHEDULED 5.1,5.1,Xanomeline Low Dose,54,Lymphocytes (GI/L),LYM,,,,Heterogeneous First Order Autoregressive,TRTAN*VISITNUM
WEEK 6,7,Placebo,0,Lymphocytes (GI/L),LYM,,-0.00203,0.04281,Heterogeneous First Order Autoregressive,TRTAN*VISITNUM
WEEK 6,7,Xanomeline Low Dose,54,Lymphocytes (GI/L),LYM,,0.06194,0.04715,Heterogeneous First Order Autoregressive,TRTAN*VISITNUM
WEEK 6,7,Xanomeline High Dose,81,Lymphocytes (GI/L),LYM,,-0.04063,0.04619,Heterogeneous First Order Autoregressive,TRTAN*VISITNUM
UNSCHEDULED 7.1,7.1,Xanomeline Low Dose,54,Lymphocytes (GI/L),LYM,,0.3143,0.001002,Heterogeneous First Order Autoregressive,TRTAN*VISITNUM
UNSCHEDULED 7.1,7.1,Xanomeline High Dose,81,Lymphocytes (GI/L),LYM,,-0.7913,0.002545,Heterogeneous First Order Autoregressive,TRTAN*VISITNUM
WEEK 8,8,Placebo,0,Lymphocytes (GI/L),LYM,,-0.00340,0.04281,Heterogeneous First Order Autoregressive,TRTAN*VISITNUM
WEEK 8,8,Xanomeline Low Dose,54,Lymphocytes (GI/L),LYM,,0.08250,0.04810,Heterogeneous First Order Autoregressive,TRTAN*VISITNUM
WEEK 8,8,Xanomeline High Dose,81,Lymphocytes (GI/L),LYM,,-0.04016,0.04861,Heterogeneous First Order Autoregressive,TRTAN*VISITNUM
UNSCHEDULED 8.2,8.2,Placebo,0,Lymphocytes (GI/L),LYM,,-0.2472,0.001137,Heterogeneous First Order Autoregressive,TRTAN*VISITNUM
UNSCHEDULED 8.2,8.2,Xanomeline Low Dose,54,Lymphocytes (GI/L),LYM,,0.7535,0.001133,Heterogeneous First Order Autoregressive,TRTAN*VISITNUM
WEEK 12,9,Placebo,0,Lymphocytes (GI/L),LYM,,-0.08211,0.04218,Heterogeneous First Order Autoregressive,TRTAN*VISITNUM
WEEK 12,9,Xanomeline Low Dose,54,Lymphocytes (GI/L),LYM,,-0.02448,0.04904,Heterogeneous First Order Autoregressive,TRTAN*VISITNUM
WEEK 12,9,Xanomeline High Dose,81,Lymphocytes (GI/L),LYM,,-0.07099,0.04876,Heterogeneous First Order Autoregressive,TRTAN*VISITNUM
UNSCHEDULED 9.2,9.2,Placebo,0,Lymphocytes (GI/L),LYM,,-0.1606,0.000659,Heterogeneous First Order Autoregressive,TRTAN*VISITNUM
UNSCHEDULED 9.2,9.2,Xanomeline High Dose,81,Lymphocytes (GI/L),LYM,,0.3935,0.000964,Heterogeneous First Order Autoregressive,TRTAN*VISITNUM
WEEK 16,10,Placebo,0,Lymphocytes (GI/L),LYM,,-0.05306,0.04449,Heterogeneous First Order Autoregressive,TRTAN*VISITNUM
WEEK 16,10,Xanomeline Low Dose,54,Lymphocytes (GI/L),LYM,,-0.06540,0.05779,Heterogeneous First Order Autoregressive,TRTAN*VISITNUM
WEEK 16,10,Xanomeline High Dose,81,Lymphocytes (GI/L),LYM,,0.005678,0.05980,Heterogeneous First Order Autoregressive,TRTAN*VISITNUM
WEEK 20,11,Placebo,0,Lymphocytes (GI/L),LYM,,-0.07594,0.04887,Heterogeneous First Order Autoregressive,TRTAN*VISITNUM
WEEK 20,11,Xanomeline Low Dose,54,Lymphocytes (GI/L),LYM,,-0.08948,0.06956,Heterogeneous First Order Autoregressive,TRTAN*VISITNUM
WEEK 20,11,Xanomeline High Dose,81,Lymphocytes (GI/L),LYM,,-0.03509,0.06870,Heterogeneous First Order Autoregressive,TRTAN*VISITNUM
WEEK 24,12,Placebo,0,Lymphocytes (GI/L),LYM,,-0.02435,0.05189,Heterogeneous First Order Autoregressive,TRTAN*VISITNUM
WEEK 24,12,Xanomeline Low Dose,54,Lymphocytes (GI/L),LYM,,0.006237,0.07790,Heterogeneous First Order Autoregressive,TRTAN*VISITNUM
WEEK 24,12,Xanomeline High Dose,81,Lymphocytes (GI/L),LYM,,-0.05321,0.07281,Heterogeneous First Order Autoregressive,TRTAN*VISITNUM
UNSCHEDULED 12.1,12.1,Placebo,0,Lymphocytes (GI/L),LYM,,,,Heterogeneous First Order Autoregressive,TRTAN*VISITNUM
UNSCHEDULED 12.1,12.1,Xanomeline Low Dose,54,Lymphocytes (GI/L),LYM,,,,Heterogeneous First Order Autoregressive,TRTAN*VISITNUM
WEEK 26,13,Placebo,0,Lymphocytes (GI/L),LYM,,-0.00184,0.04982,Heterogeneous First Order Autoregressive,TRTAN*VISITNUM
WEEK 26,13,Xanomeline Low Dose,54,Lymphocytes (GI/L),LYM,,-0.1301,0.07579,Heterogeneous First Order Autoregressive,TRTAN*VISITNUM
WEEK 26,13,Xanomeline High Dose,81,Lymphocytes (GI/L),LYM,,0.08719,0.07284,Heterogeneous First Order Autoregressive,TRTAN*VISITNUM
,,,,Lymphocytes (GI/L),LYM,Did not converge or Unable to make Hessian positive definite,,,Toeplitz,
,,,,Lymphocytes (GI/L),LYM,Did not converge or Unable to make Hessian positive definite,,,Unstructured,
,,,,Macrocytes,MACROCY,Did not converge or Unable to make Hessian positive definite,,,Compound Symmetry,
,,,,Macrocytes,MACROCY,Did not converge or Unable to make Hessian positive definite,,,First Order Autoregressive,
,,,,Macrocytes,MACROCY,Did not converge or Unable to make Hessian positive definite,,,Toeplitz,
,,,,Macrocytes,MACROCY,Did not converge or Unable to make Hessian positive definite,,,Unstructured,
,,,,Ery. Mean Corpuscular Hemoglobin (fmol(Fe)),MCH,Did not converge or Unable to make Hessian positive definite,,,Compound Symmetry,
,,,,Ery. Mean Corpuscular Hemoglobin (fmol(Fe)),MCH,Did not converge or Unable to make Hessian positive definite,,,First Order Autoregressive,
,_,Placebo,0,Ery. Mean Corpuscular Hemoglobin (fmol(Fe)),MCH,,,,Heterogeneous First Order Autoregressive,TRTAN
,_,Xanomeline Low Dose,54,Ery. Mean Corpuscular Hemoglobin (fmol(Fe)),MCH,,,,Heterogeneous First Order Autoregressive,TRTAN
,_,Xanomeline High Dose,81,Ery. Mean Corpuscular Hemoglobin (fmol(Fe)),MCH,,,,Heterogeneous First Order Autoregressive,TRTAN
UNSCHEDULED 1.1,1.1,Placebo,0,Ery. Mean Corpuscular Hemoglobin (fmol(Fe)),MCH,,-0.04736,0.03079,Heterogeneous First Order Autoregressive,TRTAN*VISITNUM
UNSCHEDULED 1.1,1.1,Xanomeline Low Dose,54,Ery. Mean Corpuscular Hemoglobin (fmol(Fe)),MCH,,0.04863,0.03181,Heterogeneous First Order Autoregressive,TRTAN*VISITNUM
UNSCHEDULED 1.1,1.1,Xanomeline High Dose,81,Ery. Mean Corpuscular Hemoglobin (fmol(Fe)),MCH,,-0.02084,0.03085,Heterogeneous First Order Autoregressive,TRTAN*VISITNUM
UNSCHEDULED 1.2,1.2,Xanomeline Low Dose,54,Ery. Mean Corpuscular Hemoglobin (fmol(Fe)),MCH,,,,Heterogeneous First Order Autoregressive,TRTAN*VISITNUM
UNSCHEDULED 1.2,1.2,Xanomeline High Dose,81,Ery. Mean Corpuscular Hemoglobin (fmol(Fe)),MCH,,,,Heterogeneous First Order Autoregressive,TRTAN*VISITNUM
UNSCHEDULED 1.3,1.3,Placebo,0,Ery. Mean Corpuscular Hemoglobin (fmol(Fe)),MCH,,,,Heterogeneous First Order Autoregressive,TRTAN*VISITNUM
WEEK 2,4,Placebo,0,Ery. Mean Corpuscular Hemoglobin (fmol(Fe)),MCH,,-0.00963,0.007262,Heterogeneous First Order Autoregressive,TRTAN*VISITNUM
WEEK 2,4,Xanomeline Low Dose,54,Ery. Mean Corpuscular Hemoglobin (fmol(Fe)),MCH,,0.01060,0.007478,Heterogeneous First Order Autoregressive,TRTAN*VISITNUM
