VISIT,VISITNUM,TRTA,TRTAN,PARAMCD,PARAM,Effect,lsmeans,lsmeans_stderr,covariatestructure
WEEK 8,8,Placebo,0,ANISO,Anisocytes,TRTAN*VISITNUM,0,,First Order Autoregressive
WEEK 8,8,Xanomeline High Dose,81,ANISO,Anisocytes,TRTAN*VISITNUM,0,,First Order Autoregressive
WEEK 12,9,Placebo,0,ANISO,Anisocytes,TRTAN*VISITNUM,0,,First Order Autoregressive
WEEK 12,9,Xanomeline High Dose,81,ANISO,Anisocytes,TRTAN*VISITNUM,0,,First Order Autoregressive
WEEK 16,10,Placebo,0,ANISO,Anisocytes,TRTAN*VISITNUM,0,,First Order Autoregressive
WEEK 16,10,Xanomeline High Dose,81,ANISO,Anisocytes,TRTAN*VISITNUM,0,,First Order Autoregressive
WEEK 20,11,Placebo,0,ANISO,Anisocytes,TRTAN*VISITNUM,0,,First Order Autoregressive
WEEK 20,11,Xanomeline High Dose,81,ANISO,Anisocytes,TRTAN*VISITNUM,0,,First Order Autoregressive
WEEK 24,12,Xanomeline High Dose,81,ANISO,Anisocytes,TRTAN*VISITNUM,0,,First Order Autoregressive
WEEK 26,13,Placebo,0,ANISO,Anisocytes,TRTAN*VISITNUM,0,,First Order Autoregressive
WEEK 26,13,Xanomeline High Dose,81,ANISO,Anisocytes,TRTAN*VISITNUM,0,,First Order Autoregressive
,_,Placebo,0,ANISO,Anisocytes,TRTAN,,,Heterogeneous Compound Symmetry
,_,Xanomeline Low Dose,54,ANISO,Anisocytes,TRTAN,,,Heterogeneous Compound Symmetry
,_,Xanomeline High Dose,81,ANISO,Anisocytes,TRTAN,0,,Heterogeneous Compound Symmetry
WEEK 2,4,Placebo,0,ANISO,Anisocytes,TRTAN*VISITNUM,0,,Heterogeneous Compound Symmetry
WEEK 2,4,Xanomeline Low Dose,54,ANISO,Anisocytes,TRTAN*VISITNUM,0,,Heterogeneous Compound Symmetry
WEEK 2,4,Xanomeline High Dose,81,ANISO,Anisocytes,TRTAN*VISITNUM,0,,Heterogeneous Compound Symmetry
WEEK 4,5,Placebo,0,ANISO,Anisocytes,TRTAN*VISITNUM,0,,Heterogeneous Compound Symmetry
WEEK 4,5,Xanomeline High Dose,81,ANISO,Anisocytes,TRTAN*VISITNUM,0,,Heterogeneous Compound Symmetry
WEEK 6,7,Xanomeline High Dose,81,ANISO,Anisocytes,TRTAN*VISITNUM,0,,Heterogeneous Compound Symmetry
WEEK 8,8,Placebo,0,ANISO,Anisocytes,TRTAN*VISITNUM,0,,Heterogeneous Compound Symmetry
WEEK 8,8,Xanomeline High Dose,81,ANISO,Anisocytes,TRTAN*VISITNUM,0,,Heterogeneous Compound Symmetry
WEEK 12,9,Placebo,0,ANISO,Anisocytes,TRTAN*VISITNUM,0,,Heterogeneous Compound Symmetry
WEEK 12,9,Xanomeline High Dose,81,ANISO,Anisocytes,TRTAN*VISITNUM,0,,Heterogeneous Compound Symmetry
WEEK 16,10,Placebo,0,ANISO,Anisocytes,TRTAN*VISITNUM,0,,Heterogeneous Compound Symmetry
WEEK 16,10,Xanomeline High Dose,81,ANISO,Anisocytes,TRTAN*VISITNUM,0,,Heterogeneous Compound Symmetry
WEEK 20,11,Placebo,0,ANISO,Anisocytes,TRTAN*VISITNUM,0,,Heterogeneous Compound Symmetry
WEEK 20,11,Xanomeline High Dose,81,ANISO,Anisocytes,TRTAN*VISITNUM,0,,Heterogeneous Compound Symmetry
WEEK 24,12,Xanomeline High Dose,81,ANISO,Anisocytes,TRTAN*VISITNUM,0,,Heterogeneous Compound Symmetry
WEEK 26,13,Placebo,0,ANISO,Anisocytes,TRTAN*VISITNUM,0,,Heterogeneous Compound Symmetry
WEEK 26,13,Xanomeline High Dose,81,ANISO,Anisocytes,TRTAN*VISITNUM,0,,Heterogeneous Compound Symmetry
,_,Placebo,0,ANISO,Anisocytes,TRTAN,,,Heterogeneous First Order Autoregressive
,_,Xanomeline Low Dose,54,ANISO,Anisocytes,TRTAN,,,Heterogeneous First Order Autoregressive
,_,Xanomeline High Dose,81,ANISO,Anisocytes,TRTAN,0,,Heterogeneous First Order Autoregressive
WEEK 2,4,Placebo,0,ANISO,Anisocytes,TRTAN*VISITNUM,0,,Heterogeneous First Order Autoregressive
WEEK 2,4,Xanomeline Low Dose,54,ANISO,Anisocytes,TRTAN*VISITNUM,0,,Heterogeneous First Order Autoregressive
WEEK 2,4,Xanomeline High Dose,81,ANISO,Anisocytes,TRTAN*VISITNUM,0,,Heterogeneous First Order Autoregressive
WEEK 4,5,Placebo,0,ANISO,Anisocytes,TRTAN*VISITNUM,0,,Heterogeneous First Order Autoregressive
WEEK 4,5,Xanomeline High Dose,81,ANISO,Anisocytes,TRTAN*VISITNUM,0,,Heterogeneous First Order Autoregressive
WEEK 6,7,Xanomeline High Dose,81,ANISO,Anisocytes,TRTAN*VISITNUM,0,,Heterogeneous First Order Autoregressive
WEEK 8,8,Placebo,0,ANISO,Anisocytes,TRTAN*VISITNUM,0,,Heterogeneous First Order Autoregressive
WEEK 8,8,Xanomeline High Dose,81,ANISO,Anisocytes,TRTAN*VISITNUM,0,,Heterogeneous First Order Autoregressive
WEEK 12,9,Placebo,0,ANISO,Anisocytes,TRTAN*VISITNUM,0,,Heterogeneous First Order Autoregressive
WEEK 12,9,Xanomeline High Dose,81,ANISO,Anisocytes,TRTAN*VISITNUM,0,,Heterogeneous First Order Autoregressive
WEEK 16,10,Placebo,0,ANISO,Anisocytes,TRTAN*VISITNUM,0,,Heterogeneous First Order Autoregressive
WEEK 16,10,Xanomeline High Dose,81,ANISO,Anisocytes,TRTAN*VISITNUM,0,,Heterogeneous First Order Autoregressive
WEEK 20,11,Placebo,0,ANISO,Anisocytes,TRTAN*VISITNUM,0,,Heterogeneous First Order Autoregressive
WEEK 20,11,Xanomeline High Dose,81,ANISO,Anisocytes,TRTAN*VISITNUM,0,,Heterogeneous First Order Autoregressive
WEEK 24,12,Xanomeline High Dose,81,ANISO,Anisocytes,TRTAN*VISITNUM,0,,Heterogeneous First Order Autoregressive
WEEK 26,13,Placebo,0,ANISO,Anisocytes,TRTAN*VISITNUM,0,,Heterogeneous First Order Autoregressive
WEEK 26,13,Xanomeline High Dose,81,ANISO,Anisocytes,TRTAN*VISITNUM,0,,Heterogeneous First Order Autoregressive
,_,Placebo,0,ANISO,Anisocytes,TRTAN,,,Toeplitz
,_,Xanomeline Low Dose,54,ANISO,Anisocytes,TRTAN,,,Toeplitz
,_,Xanomeline High Dose,81,ANISO,Anisocytes,TRTAN,0,,Toeplitz
WEEK 2,4,Placebo,0,ANISO,Anisocytes,TRTAN*VISITNUM,0,,Toeplitz
WEEK 2,4,Xanomeline Low Dose,54,ANISO,Anisocytes,TRTAN*VISITNUM,0,,Toeplitz
WEEK 2,4,Xanomeline High Dose,81,ANISO,Anisocytes,TRTAN*VISITNUM,0,,Toeplitz
WEEK 4,5,Placebo,0,ANISO,Anisocytes,TRTAN*VISITNUM,0,,Toeplitz
WEEK 4,5,Xanomeline High Dose,81,ANISO,Anisocytes,TRTAN*VISITNUM,0,,Toeplitz
WEEK 6,7,Xanomeline High Dose,81,ANISO,Anisocytes,TRTAN*VISITNUM,0,,Toeplitz
WEEK 8,8,Placebo,0,ANISO,Anisocytes,TRTAN*VISITNUM,0,,Toeplitz
WEEK 8,8,Xanomeline High Dose,81,ANISO,Anisocytes,TRTAN*VISITNUM,0,,Toeplitz
WEEK 12,9,Placebo,0,ANISO,Anisocytes,TRTAN*VISITNUM,0,,Toeplitz
WEEK 12,9,Xanomeline High Dose,81,ANISO,Anisocytes,TRTAN*VISITNUM,0,,Toeplitz
WEEK 16,10,Placebo,0,ANISO,Anisocytes,TRTAN*VISITNUM,0,,Toeplitz
WEEK 16,10,Xanomeline High Dose,81,ANISO,Anisocytes,TRTAN*VISITNUM,0,,Toeplitz
WEEK 20,11,Placebo,0,ANISO,Anisocytes,TRTAN*VISITNUM,0,,Toeplitz
WEEK 20,11,Xanomeline High Dose,81,ANISO,Anisocytes,TRTAN*VISITNUM,0,,Toeplitz
WEEK 24,12,Xanomeline High Dose,81,ANISO,Anisocytes,TRTAN*VISITNUM,0,,Toeplitz
WEEK 26,13,Placebo,0,ANISO,Anisocytes,TRTAN*VISITNUM,0,,Toeplitz
WEEK 26,13,Xanomeline High Dose,81,ANISO,Anisocytes,TRTAN*VISITNUM,0,,Toeplitz
,_,Placebo,0,ANISO,Anisocytes,TRTAN,,,Unstructured
,_,Xanomeline Low Dose,54,ANISO,Anisocytes,TRTAN,,,Unstructured
,_,Xanomeline High Dose,81,ANISO,Anisocytes,TRTAN,0,,Unstructured
WEEK 2,4,Placebo,0,ANISO,Anisocytes,TRTAN*VISITNUM,0,,Unstructured
WEEK 2,4,Xanomeline Low Dose,54,ANISO,Anisocytes,TRTAN*VISITNUM,0,,Unstructured
WEEK 2,4,Xanomeline High Dose,81,ANISO,Anisocytes,TRTAN*VISITNUM,0,,Unstructured
WEEK 4,5,Placebo,0,ANISO,Anisocytes,TRTAN*VISITNUM,0,,Unstructured
WEEK 4,5,Xanomeline High Dose,81,ANISO,Anisocytes,TRTAN*VISITNUM,0,,Unstructured
WEEK 6,7,Xanomeline High Dose,81,ANISO,Anisocytes,TRTAN*VISITNUM,0,,Unstructured
WEEK 8,8,Placebo,0,ANISO,Anisocytes,TRTAN*VISITNUM,0,,Unstructured
WEEK 8,8,Xanomeline High Dose,81,ANISO,Anisocytes,TRTAN*VISITNUM,0,,Unstructured
WEEK 12,9,Placebo,0,ANISO,Anisocytes,TRTAN*VISITNUM,0,,Unstructured
WEEK 12,9,Xanomeline High Dose,81,ANISO,Anisocytes,TRTAN*VISITNUM,0,,Unstructured
WEEK 16,10,Placebo,0,ANISO,Anisocytes,TRTAN*VISITNUM,0,,Unstructured
WEEK 16,10,Xanomeline High Dose,81,ANISO,Anisocytes,TRTAN*VISITNUM,0,,Unstructured
WEEK 20,11,Placebo,0,ANISO,Anisocytes,TRTAN*VISITNUM,0,,Unstructured
WEEK 20,11,Xanomeline High Dose,81,ANISO,Anisocytes,TRTAN*VISITNUM,0,,Unstructured
WEEK 24,12,Xanomeline High Dose,81,ANISO,Anisocytes,TRTAN*VISITNUM,0,,Unstructured
WEEK 26,13,Placebo,0,ANISO,Anisocytes,TRTAN*VISITNUM,0,,Unstructured
WEEK 26,13,Xanomeline High Dose,81,ANISO,Anisocytes,TRTAN*VISITNUM,0,,Unstructured
,_,Placebo,0,BASO,Basophils (GI/L),TRTAN,-0.00977,0.000845,Compound Symmetry
,_,Xanomeline Low Dose,54,BASO,Basophils (GI/L),TRTAN,-0.00570,0.001048,Compound Symmetry
,_,Xanomeline High Dose,81,BASO,Basophils (GI/L),TRTAN,-0.00232,0.001039,Compound Symmetry
WEEK 2,4,Placebo,0,BASO,Basophils (GI/L),TRTAN*VISITNUM,-0.00795,0.002389,Compound Symmetry
WEEK 2,4,Xanomeline Low Dose,54,BASO,Basophils (GI/L),TRTAN*VISITNUM,-0.00196,0.002347,Compound Symmetry
WEEK 2,4,Xanomeline High Dose,81,BASO,Basophils (GI/L),TRTAN*VISITNUM,-0.00529,0.002376,Compound Symmetry
WEEK 4,5,Placebo,0,BASO,Basophils (GI/L),TRTAN*VISITNUM,-0.01288,0.002389,Compound Symmetry
WEEK 4,5,Xanomeline Low Dose,54,BASO,Basophils (GI/L),TRTAN*VISITNUM,-0.00550,0.002512,Compound Symmetry
WEEK 4,5,Xanomeline High Dose,81,BASO,Basophils (GI/L),TRTAN*VISITNUM,-0.00660,0.002531,Compound Symmetry
WEEK 6,7,Placebo,0,BASO,Basophils (GI/L),TRTAN*VISITNUM,-0.00989,0.002527,Compound Symmetry
WEEK 6,7,Xanomeline Low Dose,54,BASO,Basophils (GI/L),TRTAN*VISITNUM,-0.00531,0.002736,Compound Symmetry
WEEK 6,7,Xanomeline High Dose,81,BASO,Basophils (GI/L),TRTAN*VISITNUM,0.001835,0.002599,Compound Symmetry
WEEK 8,8,Placebo,0,BASO,Basophils (GI/L),TRTAN*VISITNUM,-0.01005,0.002528,Compound Symmetry
WEEK 8,8,Xanomeline Low Dose,54,BASO,Basophils (GI/L),TRTAN*VISITNUM,-0.00324,0.002764,Compound Symmetry
WEEK 8,8,Xanomeline High Dose,81,BASO,Basophils (GI/L),TRTAN*VISITNUM,0.004930,0.002805,Compound Symmetry
WEEK 12,9,Placebo,0,BASO,Basophils (GI/L),TRTAN*VISITNUM,-0.01222,0.002696,Compound Symmetry
WEEK 12,9,Xanomeline Low Dose,54,BASO,Basophils (GI/L),TRTAN*VISITNUM,-0.00691,0.002851,Compound Symmetry
WEEK 12,9,Xanomeline High Dose,81,BASO,Basophils (GI/L),TRTAN*VISITNUM,-0.00235,0.002783,Compound Symmetry
WEEK 16,10,Placebo,0,BASO,Basophils (GI/L),TRTAN*VISITNUM,-0.01032,0.002637,Compound Symmetry
WEEK 16,10,Xanomeline Low Dose,54,BASO,Basophils (GI/L),TRTAN*VISITNUM,-0.00845,0.003159,Compound Symmetry
WEEK 16,10,Xanomeline High Dose,81,BASO,Basophils (GI/L),TRTAN*VISITNUM,-0.00030,0.003420,Compound Symmetry
WEEK 20,11,Placebo,0,BASO,Basophils (GI/L),TRTAN*VISITNUM,-0.00663,0.002582,Compound Symmetry
WEEK 20,11,Xanomeline Low Dose,54,BASO,Basophils (GI/L),TRTAN*VISITNUM,-0.00652,0.003713,Compound Symmetry
WEEK 20,11,Xanomeline High Dose,81,BASO,Basophils (GI/L),TRTAN*VISITNUM,-0.00827,0.003813,Compound Symmetry
WEEK 24,12,Placebo,0,BASO,Basophils (GI/L),TRTAN*VISITNUM,-0.00760,0.002051,Compound Symmetry
WEEK 24,12,Xanomeline Low Dose,54,BASO,Basophils (GI/L),TRTAN*VISITNUM,-0.00367,0.003169,Compound Symmetry
WEEK 24,12,Xanomeline High Dose,81,BASO,Basophils (GI/L),TRTAN*VISITNUM,-0.00393,0.002879,Compound Symmetry
WEEK 26,13,Placebo,0,BASO,Basophils (GI/L),TRTAN*VISITNUM,-0.01041,0.002925,Compound Symmetry
WEEK 26,13,Xanomeline Low Dose,54,BASO,Basophils (GI/L),TRTAN*VISITNUM,-0.00976,0.004472,Compound Symmetry
WEEK 26,13,Xanomeline High Dose,81,BASO,Basophils (GI/L),TRTAN*VISITNUM,-0.00086,0.004300,Compound Symmetry
,_,Placebo,0,BASO,Basophils (GI/L),TRTAN,-0.00977,0.000845,First Order Autoregressive
,_,Xanomeline Low Dose,54,BASO,Basophils (GI/L),TRTAN,-0.00570,0.001048,First Order Autoregressive
,_,Xanomeline High Dose,81,BASO,Basophils (GI/L),TRTAN,-0.00232,0.001039,First Order Autoregressive
WEEK 2,4,Placebo,0,BASO,Basophils (GI/L),TRTAN*VISITNUM,-0.00795,0.002389,First Order Autoregressive
WEEK 2,4,Xanomeline Low Dose,54,BASO,Basophils (GI/L),TRTAN*VISITNUM,-0.00196,0.002347,First Order Autoregressive
WEEK 2,4,Xanomeline High Dose,81,BASO,Basophils (GI/L),TRTAN*VISITNUM,-0.00529,0.002376,First Order Autoregressive
WEEK 4,5,Placebo,0,BASO,Basophils (GI/L),TRTAN*VISITNUM,-0.01288,0.002389,First Order Autoregressive
WEEK 4,5,Xanomeline Low Dose,54,BASO,Basophils (GI/L),TRTAN*VISITNUM,-0.00550,0.002512,First Order Autoregressive
WEEK 4,5,Xanomeline High Dose,81,BASO,Basophils (GI/L),TRTAN*VISITNUM,-0.00660,0.002531,First Order Autoregressive
WEEK 6,7,Placebo,0,BASO,Basophils (GI/L),TRTAN*VISITNUM,-0.00989,0.002527,First Order Autoregressive
WEEK 6,7,Xanomeline Low Dose,54,BASO,Basophils (GI/L),TRTAN*VISITNUM,-0.00531,0.002736,First Order Autoregressive
WEEK 6,7,Xanomeline High Dose,81,BASO,Basophils (GI/L),TRTAN*VISITNUM,0.001835,0.002599,First Order Autoregressive
WEEK 8,8,Placebo,0,BASO,Basophils (GI/L),TRTAN*VISITNUM,-0.01005,0.002528,First Order Autoregressive
WEEK 8,8,Xanomeline Low Dose,54,BASO,Basophils (GI/L),TRTAN*VISITNUM,-0.00324,0.002764,First Order Autoregressive
WEEK 8,8,Xanomeline High Dose,81,BASO,Basophils (GI/L),TRTAN*VISITNUM,0.004930,0.002805,First Order Autoregressive
WEEK 12,9,Placebo,0,BASO,Basophils (GI/L),TRTAN*VISITNUM,-0.01222,0.002696,First Order Autoregressive
WEEK 12,9,Xanomeline Low Dose,54,BASO,Basophils (GI/L),TRTAN*VISITNUM,-0.00691,0.002851,First Order Autoregressive
WEEK 12,9,Xanomeline High Dose,81,BASO,Basophils (GI/L),TRTAN*VISITNUM,-0.00235,0.002783,First Order Autoregressive
WEEK 16,10,Placebo,0,BASO,Basophils (GI/L),TRTAN*VISITNUM,-0.01032,0.002637,First Order Autoregressive
WEEK 16,10,Xanomeline Low Dose,54,BASO,Basophils (GI/L),TRTAN*VISITNUM,-0.00845,0.003159,First Order Autoregressive
WEEK 16,10,Xanomeline High Dose,81,BASO,Basophils (GI/L),TRTAN*VISITNUM,-0.00030,0.003420,First Order Autoregressive
WEEK 20,11,Placebo,0,BASO,Basophils (GI/L),TRTAN*VISITNUM,-0.00663,0.002582,First Order Autoregressive
WEEK 20,11,Xanomeline Low Dose,54,BASO,Basophils (GI/L),TRTAN*VISITNUM,-0.00652,0.003713,First Order Autoregressive
WEEK 20,11,Xanomeline High Dose,81,BASO,Basophils (GI/L),TRTAN*VISITNUM,-0.00827,0.003813,First Order Autoregressive
WEEK 24,12,Placebo,0,BASO,Basophils (GI/L),TRTAN*VISITNUM,-0.00760,0.002051,First Order Autoregressive
WEEK 24,12,Xanomeline Low Dose,54,BASO,Basophils (GI/L),TRTAN*VISITNUM,-0.00367,0.003169,First Order Autoregressive
WEEK 24,12,Xanomeline High Dose,81,BASO,Basophils (GI/L),TRTAN*VISITNUM,-0.00393,0.002879,First Order Autoregressive
WEEK 26,13,Placebo,0,BASO,Basophils (GI/L),TRTAN*VISITNUM,-0.01041,0.002925,First Order Autoregressive
WEEK 26,13,Xanomeline Low Dose,54,BASO,Basophils (GI/L),TRTAN*VISITNUM,-0.00976,0.004472,First Order Autoregressive
WEEK 26,13,Xanomeline High Dose,81,BASO,Basophils (GI/L),TRTAN*VISITNUM,-0.00086,0.004300,First Order Autoregressive
,_,Placebo,0,BASO,Basophils (GI/L),TRTAN,-0.00977,0.000845,Heterogeneous Compound Symmetry
,_,Xanomeline Low Dose,54,BASO,Basophils (GI/L),TRTAN,-0.00570,0.001048,Heterogeneous Compound Symmetry
,_,Xanomeline High Dose,81,BASO,Basophils (GI/L),TRTAN,-0.00232,0.001039,Heterogeneous Compound Symmetry
WEEK 2,4,Placebo,0,BASO,Basophils (GI/L),TRTAN*VISITNUM,-0.00795,0.002389,Heterogeneous Compound Symmetry
WEEK 2,4,Xanomeline Low Dose,54,BASO,Basophils (GI/L),TRTAN*VISITNUM,-0.00196,0.002347,Heterogeneous Compound Symmetry
WEEK 2,4,Xanomeline High Dose,81,BASO,Basophils (GI/L),TRTAN*VISITNUM,-0.00529,0.002376,Heterogeneous Compound Symmetry
WEEK 4,5,Placebo,0,BASO,Basophils (GI/L),TRTAN*VISITNUM,-0.01288,0.002389,Heterogeneous Compound Symmetry
WEEK 4,5,Xanomeline Low Dose,54,BASO,Basophils (GI/L),TRTAN*VISITNUM,-0.00550,0.002512,Heterogeneous Compound Symmetry
WEEK 4,5,Xanomeline High Dose,81,BASO,Basophils (GI/L),TRTAN*VISITNUM,-0.00660,0.002531,Heterogeneous Compound Symmetry
WEEK 6,7,Placebo,0,BASO,Basophils (GI/L),TRTAN*VISITNUM,-0.00989,0.002527,Heterogeneous Compound Symmetry
WEEK 6,7,Xanomeline Low Dose,54,BASO,Basophils (GI/L),TRTAN*VISITNUM,-0.00531,0.002736,Heterogeneous Compound Symmetry
WEEK 6,7,Xanomeline High Dose,81,BASO,Basophils (GI/L),TRTAN*VISITNUM,0.001835,0.002599,Heterogeneous Compound Symmetry
WEEK 8,8,Placebo,0,BASO,Basophils (GI/L),TRTAN*VISITNUM,-0.01005,0.002528,Heterogeneous Compound Symmetry
WEEK 8,8,Xanomeline Low Dose,54,BASO,Basophils (GI/L),TRTAN*VISITNUM,-0.00324,0.002764,Heterogeneous Compound Symmetry
WEEK 8,8,Xanomeline High Dose,81,BASO,Basophils (GI/L),TRTAN*VISITNUM,0.004930,0.002805,Heterogeneous Compound Symmetry
WEEK 12,9,Placebo,0,BASO,Basophils (GI/L),TRTAN*VISITNUM,-0.01222,0.002696,Heterogeneous Compound Symmetry
WEEK 12,9,Xanomeline Low Dose,54,BASO,Basophils (GI/L),TRTAN*VISITNUM,-0.00691,0.002851,Heterogeneous Compound Symmetry
WEEK 12,9,Xanomeline High Dose,81,BASO,Basophils (GI/L),TRTAN*VISITNUM,-0.00235,0.002783,Heterogeneous Compound Symmetry
WEEK 16,10,Placebo,0,BASO,Basophils (GI/L),TRTAN*VISITNUM,-0.01032,0.002637,Heterogeneous Compound Symmetry
WEEK 16,10,Xanomeline Low Dose,54,BASO,Basophils (GI/L),TRTAN*VISITNUM,-0.00845,0.003159,Heterogeneous Compound Symmetry
WEEK 16,10,Xanomeline High Dose,81,BASO,Basophils (GI/L),TRTAN*VISITNUM,-0.00030,0.003420,Heterogeneous Compound Symmetry
WEEK 20,11,Placebo,0,BASO,Basophils (GI/L),TRTAN*VISITNUM,-0.00663,0.002582,Heterogeneous Compound Symmetry
WEEK 20,11,Xanomeline Low Dose,54,BASO,Basophils (GI/L),TRTAN*VISITNUM,-0.00652,0.003713,Heterogeneous Compound Symmetry
WEEK 20,11,Xanomeline High Dose,81,BASO,Basophils (GI/L),TRTAN*VISITNUM,-0.00827,0.003813,Heterogeneous Compound Symmetry
WEEK 24,12,Placebo,0,BASO,Basophils (GI/L),TRTAN*VISITNUM,-0.00760,0.002051,Heterogeneous Compound Symmetry
WEEK 24,12,Xanomeline Low Dose,54,BASO,Basophils (GI/L),TRTAN*VISITNUM,-0.00367,0.003169,Heterogeneous Compound Symmetry
WEEK 24,12,Xanomeline High Dose,81,BASO,Basophils (GI/L),TRTAN*VISITNUM,-0.00393,0.002879,Heterogeneous Compound Symmetry
WEEK 26,13,Placebo,0,BASO,Basophils (GI/L),TRTAN*VISITNUM,-0.01041,0.002925,Heterogeneous Compound Symmetry
WEEK 26,13,Xanomeline Low Dose,54,BASO,Basophils (GI/L),TRTAN*VISITNUM,-0.00976,0.004472,Heterogeneous Compound Symmetry
WEEK 26,13,Xanomeline High Dose,81,BASO,Basophils (GI/L),TRTAN*VISITNUM,-0.00086,0.004300,Heterogeneous Compound Symmetry
,_,Placebo,0,BASO,Basophils (GI/L),TRTAN,-0.00977,0.000845,Heterogeneous First Order Autoregressive
,_,Xanomeline Low Dose,54,BASO,Basophils (GI/L),TRTAN,-0.00570,0.001048,Heterogeneous First Order Autoregressive
,_,Xanomeline High Dose,81,BASO,Basophils (GI/L),TRTAN,-0.00232,0.001039,Heterogeneous First Order Autoregressive
WEEK 2,4,Placebo,0,BASO,Basophils (GI/L),TRTAN*VISITNUM,-0.00795,0.002389,Heterogeneous First Order Autoregressive
WEEK 2,4,Xanomeline Low Dose,54,BASO,Basophils (GI/L),TRTAN*VISITNUM,-0.00196,0.002347,Heterogeneous First Order Autoregressive
WEEK 2,4,Xanomeline High Dose,81,BASO,Basophils (GI/L),TRTAN*VISITNUM,-0.00529,0.002376,Heterogeneous First Order Autoregressive
WEEK 4,5,Placebo,0,BASO,Basophils (GI/L),TRTAN*VISITNUM,-0.01288,0.002389,Heterogeneous First Order Autoregressive
WEEK 4,5,Xanomeline Low Dose,54,BASO,Basophils (GI/L),TRTAN*VISITNUM,-0.00550,0.002512,Heterogeneous First Order Autoregressive
WEEK 4,5,Xanomeline High Dose,81,BASO,Basophils (GI/L),TRTAN*VISITNUM,-0.00660,0.002531,Heterogeneous First Order Autoregressive
WEEK 6,7,Placebo,0,BASO,Basophils (GI/L),TRTAN*VISITNUM,-0.00989,0.002527,Heterogeneous First Order Autoregressive
WEEK 6,7,Xanomeline Low Dose,54,BASO,Basophils (GI/L),TRTAN*VISITNUM,-0.00531,0.002736,Heterogeneous First Order Autoregressive
WEEK 6,7,Xanomeline High Dose,81,BASO,Basophils (GI/L),TRTAN*VISITNUM,0.001835,0.002599,Heterogeneous First Order Autoregressive
