VISIT,VISITNUM,TRTA,TRTAN,PARAMCD,PARAM,Effect,lsmeans,lsmeans_stderr,covariatestructure
WEEK 8,8,Placebo,0,ANISO,Anisocytes,TRTAN*VISITNUM,0,,First Order Autoregressive
WEEK 8,8,Xanomeline High Dose,81,ANISO,Anisocytes,TRTAN*VISITNUM,0,,First Order Autoregressive
WEEK 12,9,Placebo,0,ANISO,Anisocytes,TRTAN*VISITNUM,0,,First Order Autoregressive
WEEK 12,9,Xanomeline High Dose,81,ANISO,Anisocytes,TRTAN*VISITNUM,0,,First Order Autoregressive
WEEK 16,10,Placebo,0,ANISO,Anisocytes,TRTAN*VISITNUM,0,,First Order Autoregressive
WEEK 16,10,Xanomeline High Dose,81,ANISO,Anisocytes,TRTAN*VISITNUM,0,,First Order Autoregressive
WEEK 20,11,Placebo,0,ANISO,Anisocytes,TRTAN*VISITNUM,0,,First Order Autoregressive
WEEK 20,11,Xanomeline High Dose,81,ANISO,Anisocytes,TRTAN*VISITNUM,0,,First Order Autoregressive
WEEK 24,12,Xanomeline High Dose,81,ANISO,Anisocytes,TRTAN*VISITNUM,0,,First Order Autoregressive
WEEK 26,13,Placebo,0,ANISO,Anisocytes,TRTAN*VISITNUM,0,,First Order Autoregressive
WEEK 26,13,Xanomeline High Dose,81,ANISO,Anisocytes,TRTAN*VISITNUM,0,,First Order Autoregressive
,_,Placebo,0,ANISO,Anisocytes,TRTAN,,,Heterogeneous Compound Symmetry
,_,Xanomeline Low Dose,54,ANISO,Anisocytes,TRTAN,,,Heterogeneous Compound Symmetry
,_,Xanomeline High Dose,81,ANISO,Anisocytes,TRTAN,0,,Heterogeneous Compound Symmetry
WEEK 2,4,Placebo,0,ANISO,Anisocytes,TRTAN*VISITNUM,0,,Heterogeneous Compound Symmetry
WEEK 2,4,Xanomeline Low Dose,54,ANISO,Anisocytes,TRTAN*VISITNUM,0,,Heterogeneous Compound Symmetry
WEEK 2,4,Xanomeline High Dose,81,ANISO,Anisocytes,TRTAN*VISITNUM,0,,Heterogeneous Compound Symmetry
WEEK 4,5,Placebo,0,ANISO,Anisocytes,TRTAN*VISITNUM,0,,Heterogeneous Compound Symmetry
WEEK 4,5,Xanomeline High Dose,81,ANISO,Anisocytes,TRTAN*VISITNUM,0,,Heterogeneous Compound Symmetry
WEEK 6,7,Xanomeline High Dose,81,ANISO,Anisocytes,TRTAN*VISITNUM,0,,Heterogeneous Compound Symmetry
WEEK 8,8,Placebo,0,ANISO,Anisocytes,TRTAN*VISITNUM,0,,Heterogeneous Compound Symmetry
WEEK 8,8,Xanomeline High Dose,81,ANISO,Anisocytes,TRTAN*VISITNUM,0,,Heterogeneous Compound Symmetry
WEEK 12,9,Placebo,0,ANISO,Anisocytes,TRTAN*VISITNUM,0,,Heterogeneous Compound Symmetry
WEEK 12,9,Xanomeline High Dose,81,ANISO,Anisocytes,TRTAN*VISITNUM,0,,Heterogeneous Compound Symmetry
WEEK 16,10,Placebo,0,ANISO,Anisocytes,TRTAN*VISITNUM,0,,Heterogeneous Compound Symmetry
WEEK 16,10,Xanomeline High Dose,81,ANISO,Anisocytes,TRTAN*VISITNUM,0,,Heterogeneous Compound Symmetry
WEEK 20,11,Placebo,0,ANISO,Anisocytes,TRTAN*VISITNUM,0,,Heterogeneous Compound Symmetry
WEEK 20,11,Xanomeline High Dose,81,ANISO,Anisocytes,TRTAN*VISITNUM,0,,Heterogeneous Compound Symmetry
WEEK 24,12,Xanomeline High Dose,81,ANISO,Anisocytes,TRTAN*VISITNUM,0,,Heterogeneous Compound Symmetry
WEEK 26,13,Placebo,0,ANISO,Anisocytes,TRTAN*VISITNUM,0,,Heterogeneous Compound Symmetry
WEEK 26,13,Xanomeline High Dose,81,ANISO,Anisocytes,TRTAN*VISITNUM,0,,Heterogeneous Compound Symmetry
,_,Placebo,0,ANISO,Anisocytes,TRTAN,,,Heterogeneous First Order Autoregressive
,_,Xanomeline Low Dose,54,ANISO,Anisocytes,TRTAN,,,Heterogeneous First Order Autoregressive
,_,Xanomeline High Dose,81,ANISO,Anisocytes,TRTAN,0,,Heterogeneous First Order Autoregressive
WEEK 2,4,Placebo,0,ANISO,Anisocytes,TRTAN*VISITNUM,0,,Heterogeneous First Order Autoregressive
WEEK 2,4,Xanomeline Low Dose,54,ANISO,Anisocytes,TRTAN*VISITNUM,0,,Heterogeneous First Order Autoregressive
WEEK 2,4,Xanomeline High Dose,81,ANISO,Anisocytes,TRTAN*VISITNUM,0,,Heterogeneous First Order Autoregressive
WEEK 4,5,Placebo,0,ANISO,Anisocytes,TRTAN*VISITNUM,0,,Heterogeneous First Order Autoregressive
WEEK 4,5,Xanomeline High Dose,81,ANISO,Anisocytes,TRTAN*VISITNUM,0,,Heterogeneous First Order Autoregressive
WEEK 6,7,Xanomeline High Dose,81,ANISO,Anisocytes,TRTAN*VISITNUM,0,,Heterogeneous First Order Autoregressive
WEEK 8,8,Placebo,0,ANISO,Anisocytes,TRTAN*VISITNUM,0,,Heterogeneous First Order Autoregressive
WEEK 8,8,Xanomeline High Dose,81,ANISO,Anisocytes,TRTAN*VISITNUM,0,,Heterogeneous First Order Autoregressive
WEEK 12,9,Placebo,0,ANISO,Anisocytes,TRTAN*VISITNUM,0,,Heterogeneous First Order Autoregressive
WEEK 12,9,Xanomeline High Dose,81,ANISO,Anisocytes,TRTAN*VISITNUM,0,,Heterogeneous First Order Autoregressive
WEEK 16,10,Placebo,0,ANISO,Anisocytes,TRTAN*VISITNUM,0,,Heterogeneous First Order Autoregressive
WEEK 16,10,Xanomeline High Dose,81,ANISO,Anisocytes,TRTAN*VISITNUM,0,,Heterogeneous First Order Autoregressive
WEEK 20,11,Placebo,0,ANISO,Anisocytes,TRTAN*VISITNUM,0,,Heterogeneous First Order Autoregressive
WEEK 20,11,Xanomeline High Dose,81,ANISO,Anisocytes,TRTAN*VISITNUM,0,,Heterogeneous First Order Autoregressive
WEEK 24,12,Xanomeline High Dose,81,ANISO,Anisocytes,TRTAN*VISITNUM,0,,Heterogeneous First Order Autoregressive
WEEK 26,13,Placebo,0,ANISO,Anisocytes,TRTAN*VISITNUM,0,,Heterogeneous First Order Autoregressive
WEEK 26,13,Xanomeline High Dose,81,ANISO,Anisocytes,TRTAN*VISITNUM,0,,Heterogeneous First Order Autoregressive
,_,Placebo,0,ANISO,Anisocytes,TRTAN,,,Toeplitz
,_,Xanomeline Low Dose,54,ANISO,Anisocytes,TRTAN,,,Toeplitz
,_,Xanomeline High Dose,81,ANISO,Anisocytes,TRTAN,0,,Toeplitz
WEEK 2,4,Placebo,0,ANISO,Anisocytes,TRTAN*VISITNUM,0,,Toeplitz
WEEK 2,4,Xanomeline Low Dose,54,ANISO,Anisocytes,TRTAN*VISITNUM,0,,Toeplitz
WEEK 2,4,Xanomeline High Dose,81,ANISO,Anisocytes,TRTAN*VISITNUM,0,,Toeplitz
WEEK 4,5,Placebo,0,ANISO,Anisocytes,TRTAN*VISITNUM,0,,Toeplitz
WEEK 4,5,Xanomeline High Dose,81,ANISO,Anisocytes,TRTAN*VISITNUM,0,,Toeplitz
WEEK 6,7,Xanomeline High Dose,81,ANISO,Anisocytes,TRTAN*VISITNUM,0,,Toeplitz
WEEK 8,8,Placebo,0,ANISO,Anisocytes,TRTAN*VISITNUM,0,,Toeplitz
WEEK 8,8,Xanomeline High Dose,81,ANISO,Anisocytes,TRTAN*VISITNUM,0,,Toeplitz
WEEK 12,9,Placebo,0,ANISO,Anisocytes,TRTAN*VISITNUM,0,,Toeplitz
WEEK 12,9,Xanomeline High Dose,81,ANISO,Anisocytes,TRTAN*VISITNUM,0,,Toeplitz
WEEK 16,10,Placebo,0,ANISO,Anisocytes,TRTAN*VISITNUM,0,,Toeplitz
WEEK 16,10,Xanomeline High Dose,81,ANISO,Anisocytes,TRTAN*VISITNUM,0,,Toeplitz
WEEK 20,11,Placebo,0,ANISO,Anisocytes,TRTAN*VISITNUM,0,,Toeplitz
WEEK 20,11,Xanomeline High Dose,81,ANISO,Anisocytes,TRTAN*VISITNUM,0,,Toeplitz
WEEK 24,12,Xanomeline High Dose,81,ANISO,Anisocytes,TRTAN*VISITNUM,0,,Toeplitz
WEEK 26,13,Placebo,0,ANISO,Anisocytes,TRTAN*VISITNUM,0,,Toeplitz
WEEK 26,13,Xanomeline High Dose,81,ANISO,Anisocytes,TRTAN*VISITNUM,0,,Toeplitz
,_,Placebo,0,ANISO,Anisocytes,TRTAN,,,Unstructured
,_,Xanomeline Low Dose,54,ANISO,Anisocytes,TRTAN,,,Unstructured
,_,Xanomeline High Dose,81,ANISO,Anisocytes,TRTAN,0,,Unstructured
WEEK 2,4,Placebo,0,ANISO,Anisocytes,TRTAN*VISITNUM,0,,Unstructured
WEEK 2,4,Xanomeline Low Dose,54,ANISO,Anisocytes,TRTAN*VISITNUM,0,,Unstructured
WEEK 2,4,Xanomeline High Dose,81,ANISO,Anisocytes,TRTAN*VISITNUM,0,,Unstructured
WEEK 4,5,Placebo,0,ANISO,Anisocytes,TRTAN*VISITNUM,0,,Unstructured
WEEK 4,5,Xanomeline High Dose,81,ANISO,Anisocytes,TRTAN*VISITNUM,0,,Unstructured
WEEK 6,7,Xanomeline High Dose,81,ANISO,Anisocytes,TRTAN*VISITNUM,0,,Unstructured
WEEK 8,8,Placebo,0,ANISO,Anisocytes,TRTAN*VISITNUM,0,,Unstructured
WEEK 8,8,Xanomeline High Dose,81,ANISO,Anisocytes,TRTAN*VISITNUM,0,,Unstructured
WEEK 12,9,Placebo,0,ANISO,Anisocytes,TRTAN*VISITNUM,0,,Unstructured
WEEK 12,9,Xanomeline High Dose,81,ANISO,Anisocytes,TRTAN*VISITNUM,0,,Unstructured
WEEK 16,10,Placebo,0,ANISO,Anisocytes,TRTAN*VISITNUM,0,,Unstructured
WEEK 16,10,Xanomeline High Dose,81,ANISO,Anisocytes,TRTAN*VISITNUM,0,,Unstructured
WEEK 20,11,Placebo,0,ANISO,Anisocytes,TRTAN*VISITNUM,0,,Unstructured
WEEK 20,11,Xanomeline High Dose,81,ANISO,Anisocytes,TRTAN*VISITNUM,0,,Unstructured
WEEK 24,12,Xanomeline High Dose,81,ANISO,Anisocytes,TRTAN*VISITNUM,0,,Unstructured
WEEK 26,13,Placebo,0,ANISO,Anisocytes,TRTAN*VISITNUM,0,,Unstructured
WEEK 26,13,Xanomeline High Dose,81,ANISO,Anisocytes,TRTAN*VISITNUM,0,,Unstructured
,_,Placebo,0,BASO,Basophils (GI/L),TRTAN,-0.00975,0.000845,Compound Symmetry
,_,Xanomeline Low Dose,54,BASO,Basophils (GI/L),TRTAN,-0.00584,0.001046,Compound Symmetry
,_,Xanomeline High Dose,81,BASO,Basophils (GI/L),TRTAN,-0.00220,0.001038,Compound Symmetry
WEEK 2,4,Placebo,0,BASO,Basophils (GI/L),TRTAN*VISITNUM,-0.00798,0.002388,Compound Symmetry
WEEK 2,4,Xanomeline Low Dose,54,BASO,Basophils (GI/L),TRTAN*VISITNUM,-0.00195,0.002347,Compound Symmetry
WEEK 2,4,Xanomeline High Dose,81,BASO,Basophils (GI/L),TRTAN*VISITNUM,-0.00523,0.002374,Compound Symmetry
WEEK 4,5,Placebo,0,BASO,Basophils (GI/L),TRTAN*VISITNUM,-0.01291,0.002388,Compound Symmetry
WEEK 4,5,Xanomeline Low Dose,54,BASO,Basophils (GI/L),TRTAN*VISITNUM,-0.00555,0.002511,Compound Symmetry
WEEK 4,5,Xanomeline High Dose,81,BASO,Basophils (GI/L),TRTAN*VISITNUM,-0.00652,0.002528,Compound Symmetry
WEEK 6,7,Placebo,0,BASO,Basophils (GI/L),TRTAN*VISITNUM,-0.00989,0.002527,Compound Symmetry
WEEK 6,7,Xanomeline Low Dose,54,BASO,Basophils (GI/L),TRTAN*VISITNUM,-0.00532,0.002736,Compound Symmetry
WEEK 6,7,Xanomeline High Dose,81,BASO,Basophils (GI/L),TRTAN*VISITNUM,0.001819,0.002598,Compound Symmetry
WEEK 8,8,Placebo,0,BASO,Basophils (GI/L),TRTAN*VISITNUM,-0.00998,0.002527,Compound Symmetry
WEEK 8,8,Xanomeline Low Dose,54,BASO,Basophils (GI/L),TRTAN*VISITNUM,-0.00355,0.002758,Compound Symmetry
WEEK 8,8,Xanomeline High Dose,81,BASO,Basophils (GI/L),TRTAN*VISITNUM,0.005124,0.002803,Compound Symmetry
WEEK 12,9,Placebo,0,BASO,Basophils (GI/L),TRTAN*VISITNUM,-0.01225,0.002694,Compound Symmetry
WEEK 12,9,Xanomeline Low Dose,54,BASO,Basophils (GI/L),TRTAN*VISITNUM,-0.00688,0.002850,Compound Symmetry
WEEK 12,9,Xanomeline High Dose,81,BASO,Basophils (GI/L),TRTAN*VISITNUM,-0.00232,0.002780,Compound Symmetry
WEEK 16,10,Placebo,0,BASO,Basophils (GI/L),TRTAN*VISITNUM,-0.01034,0.002635,Compound Symmetry
WEEK 16,10,Xanomeline Low Dose,54,BASO,Basophils (GI/L),TRTAN*VISITNUM,-0.00844,0.003159,Compound Symmetry
WEEK 16,10,Xanomeline High Dose,81,BASO,Basophils (GI/L),TRTAN*VISITNUM,-0.00032,0.003418,Compound Symmetry
WEEK 20,11,Placebo,0,BASO,Basophils (GI/L),TRTAN*VISITNUM,-0.00651,0.002580,Compound Symmetry
WEEK 20,11,Xanomeline Low Dose,54,BASO,Basophils (GI/L),TRTAN*VISITNUM,-0.00686,0.003701,Compound Symmetry
WEEK 20,11,Xanomeline High Dose,81,BASO,Basophils (GI/L),TRTAN*VISITNUM,-0.00809,0.003810,Compound Symmetry
WEEK 24,12,Placebo,0,BASO,Basophils (GI/L),TRTAN*VISITNUM,-0.00754,0.002050,Compound Symmetry
WEEK 24,12,Xanomeline Low Dose,54,BASO,Basophils (GI/L),TRTAN*VISITNUM,-0.00395,0.003161,Compound Symmetry
WEEK 24,12,Xanomeline High Dose,81,BASO,Basophils (GI/L),TRTAN*VISITNUM,-0.00374,0.002875,Compound Symmetry
WEEK 26,13,Placebo,0,BASO,Basophils (GI/L),TRTAN*VISITNUM,-0.01038,0.002925,Compound Symmetry
WEEK 26,13,Xanomeline Low Dose,54,BASO,Basophils (GI/L),TRTAN*VISITNUM,-0.01004,0.004468,Compound Symmetry
WEEK 26,13,Xanomeline High Dose,81,BASO,Basophils (GI/L),TRTAN*VISITNUM,-0.00051,0.004293,Compound Symmetry
,_,Placebo,0,BASO,Basophils (GI/L),TRTAN,-0.00975,0.000845,First Order Autoregressive
,_,Xanomeline Low Dose,54,BASO,Basophils (GI/L),TRTAN,-0.00584,0.001046,First Order Autoregressive
,_,Xanomeline High Dose,81,BASO,Basophils (GI/L),TRTAN,-0.00220,0.001038,First Order Autoregressive
WEEK 2,4,Placebo,0,BASO,Basophils (GI/L),TRTAN*VISITNUM,-0.00798,0.002388,First Order Autoregressive
WEEK 2,4,Xanomeline Low Dose,54,BASO,Basophils (GI/L),TRTAN*VISITNUM,-0.00195,0.002347,First Order Autoregressive
WEEK 2,4,Xanomeline High Dose,81,BASO,Basophils (GI/L),TRTAN*VISITNUM,-0.00523,0.002374,First Order Autoregressive
WEEK 4,5,Placebo,0,BASO,Basophils (GI/L),TRTAN*VISITNUM,-0.01291,0.002388,First Order Autoregressive
WEEK 4,5,Xanomeline Low Dose,54,BASO,Basophils (GI/L),TRTAN*VISITNUM,-0.00555,0.002511,First Order Autoregressive
WEEK 4,5,Xanomeline High Dose,81,BASO,Basophils (GI/L),TRTAN*VISITNUM,-0.00652,0.002528,First Order Autoregressive
WEEK 6,7,Placebo,0,BASO,Basophils (GI/L),TRTAN*VISITNUM,-0.00989,0.002527,First Order Autoregressive
WEEK 6,7,Xanomeline Low Dose,54,BASO,Basophils (GI/L),TRTAN*VISITNUM,-0.00532,0.002736,First Order Autoregressive
WEEK 6,7,Xanomeline High Dose,81,BASO,Basophils (GI/L),TRTAN*VISITNUM,0.001819,0.002598,First Order Autoregressive
WEEK 8,8,Placebo,0,BASO,Basophils (GI/L),TRTAN*VISITNUM,-0.00998,0.002527,First Order Autoregressive
WEEK 8,8,Xanomeline Low Dose,54,BASO,Basophils (GI/L),TRTAN*VISITNUM,-0.00355,0.002758,First Order Autoregressive
WEEK 8,8,Xanomeline High Dose,81,BASO,Basophils (GI/L),TRTAN*VISITNUM,0.005124,0.002803,First Order Autoregressive
WEEK 12,9,Placebo,0,BASO,Basophils (GI/L),TRTAN*VISITNUM,-0.01225,0.002694,First Order Autoregressive
WEEK 12,9,Xanomeline Low Dose,54,BASO,Basophils (GI/L),TRTAN*VISITNUM,-0.00688,0.002850,First Order Autoregressive
WEEK 12,9,Xanomeline High Dose,81,BASO,Basophils (GI/L),TRTAN*VISITNUM,-0.00232,0.002780,First Order Autoregressive
WEEK 16,10,Placebo,0,BASO,Basophils (GI/L),TRTAN*VISITNUM,-0.01034,0.002635,First Order Autoregressive
WEEK 16,10,Xanomeline Low Dose,54,BASO,Basophils (GI/L),TRTAN*VISITNUM,-0.00844,0.003159,First Order Autoregressive
WEEK 16,10,Xanomeline High Dose,81,BASO,Basophils (GI/L),TRTAN*VISITNUM,-0.00032,0.003418,First Order Autoregressive
WEEK 20,11,Placebo,0,BASO,Basophils (GI/L),TRTAN*VISITNUM,-0.00651,0.002580,First Order Autoregressive
WEEK 20,11,Xanomeline Low Dose,54,BASO,Basophils (GI/L),TRTAN*VISITNUM,-0.00686,0.003701,First Order Autoregressive
WEEK 20,11,Xanomeline High Dose,81,BASO,Basophils (GI/L),TRTAN*VISITNUM,-0.00809,0.003810,First Order Autoregressive
WEEK 24,12,Placebo,0,BASO,Basophils (GI/L),TRTAN*VISITNUM,-0.00754,0.002050,First Order Autoregressive
WEEK 24,12,Xanomeline Low Dose,54,BASO,Basophils (GI/L),TRTAN*VISITNUM,-0.00395,0.003161,First Order Autoregressive
WEEK 24,12,Xanomeline High Dose,81,BASO,Basophils (GI/L),TRTAN*VISITNUM,-0.00374,0.002875,First Order Autoregressive
WEEK 26,13,Placebo,0,BASO,Basophils (GI/L),TRTAN*VISITNUM,-0.01038,0.002925,First Order Autoregressive
WEEK 26,13,Xanomeline Low Dose,54,BASO,Basophils (GI/L),TRTAN*VISITNUM,-0.01004,0.004468,First Order Autoregressive
WEEK 26,13,Xanomeline High Dose,81,BASO,Basophils (GI/L),TRTAN*VISITNUM,-0.00051,0.004293,First Order Autoregressive
,_,Placebo,0,BASO,Basophils (GI/L),TRTAN,-0.00975,0.000845,Heterogeneous Compound Symmetry
,_,Xanomeline Low Dose,54,BASO,Basophils (GI/L),TRTAN,-0.00584,0.001046,Heterogeneous Compound Symmetry
,_,Xanomeline High Dose,81,BASO,Basophils (GI/L),TRTAN,-0.00220,0.001038,Heterogeneous Compound Symmetry
WEEK 2,4,Placebo,0,BASO,Basophils (GI/L),TRTAN*VISITNUM,-0.00798,0.002388,Heterogeneous Compound Symmetry
WEEK 2,4,Xanomeline Low Dose,54,BASO,Basophils (GI/L),TRTAN*VISITNUM,-0.00195,0.002347,Heterogeneous Compound Symmetry
WEEK 2,4,Xanomeline High Dose,81,BASO,Basophils (GI/L),TRTAN*VISITNUM,-0.00523,0.002374,Heterogeneous Compound Symmetry
WEEK 4,5,Placebo,0,BASO,Basophils (GI/L),TRTAN*VISITNUM,-0.01291,0.002388,Heterogeneous Compound Symmetry
WEEK 4,5,Xanomeline Low Dose,54,BASO,Basophils (GI/L),TRTAN*VISITNUM,-0.00555,0.002511,Heterogeneous Compound Symmetry
WEEK 4,5,Xanomeline High Dose,81,BASO,Basophils (GI/L),TRTAN*VISITNUM,-0.00652,0.002528,Heterogeneous Compound Symmetry
WEEK 6,7,Placebo,0,BASO,Basophils (GI/L),TRTAN*VISITNUM,-0.00989,0.002527,Heterogeneous Compound Symmetry
WEEK 6,7,Xanomeline Low Dose,54,BASO,Basophils (GI/L),TRTAN*VISITNUM,-0.00532,0.002736,Heterogeneous Compound Symmetry
WEEK 6,7,Xanomeline High Dose,81,BASO,Basophils (GI/L),TRTAN*VISITNUM,0.001819,0.002598,Heterogeneous Compound Symmetry
WEEK 8,8,Placebo,0,BASO,Basophils (GI/L),TRTAN*VISITNUM,-0.00998,0.002527,Heterogeneous Compound Symmetry
WEEK 8,8,Xanomeline Low Dose,54,BASO,Basophils (GI/L),TRTAN*VISITNUM,-0.00355,0.002758,Heterogeneous Compound Symmetry
WEEK 8,8,Xanomeline High Dose,81,BASO,Basophils (GI/L),TRTAN*VISITNUM,0.005124,0.002803,Heterogeneous Compound Symmetry
WEEK 12,9,Placebo,0,BASO,Basophils (GI/L),TRTAN*VISITNUM,-0.01225,0.002694,Heterogeneous Compound Symmetry
WEEK 12,9,Xanomeline Low Dose,54,BASO,Basophils (GI/L),TRTAN*VISITNUM,-0.00688,0.002850,Heterogeneous Compound Symmetry
WEEK 12,9,Xanomeline High Dose,81,BASO,Basophils (GI/L),TRTAN*VISITNUM,-0.00232,0.002780,Heterogeneous Compound Symmetry
WEEK 16,10,Placebo,0,BASO,Basophils (GI/L),TRTAN*VISITNUM,-0.01034,0.002635,Heterogeneous Compound Symmetry
WEEK 16,10,Xanomeline Low Dose,54,BASO,Basophils (GI/L),TRTAN*VISITNUM,-0.00844,0.003159,Heterogeneous Compound Symmetry
WEEK 16,10,Xanomeline High Dose,81,BASO,Basophils (GI/L),TRTAN*VISITNUM,-0.00032,0.003418,Heterogeneous Compound Symmetry
WEEK 20,11,Placebo,0,BASO,Basophils (GI/L),TRTAN*VISITNUM,-0.00651,0.002580,Heterogeneous Compound Symmetry
WEEK 20,11,Xanomeline Low Dose,54,BASO,Basophils (GI/L),TRTAN*VISITNUM,-0.00686,0.003701,Heterogeneous Compound Symmetry
WEEK 20,11,Xanomeline High Dose,81,BASO,Basophils (GI/L),TRTAN*VISITNUM,-0.00809,0.003810,Heterogeneous Compound Symmetry
WEEK 24,12,Placebo,0,BASO,Basophils (GI/L),TRTAN*VISITNUM,-0.00754,0.002050,Heterogeneous Compound Symmetry
WEEK 24,12,Xanomeline Low Dose,54,BASO,Basophils (GI/L),TRTAN*VISITNUM,-0.00395,0.003161,Heterogeneous Compound Symmetry
WEEK 24,12,Xanomeline High Dose,81,BASO,Basophils (GI/L),TRTAN*VISITNUM,-0.00374,0.002875,Heterogeneous Compound Symmetry
WEEK 26,13,Placebo,0,BASO,Basophils (GI/L),TRTAN*VISITNUM,-0.01038,0.002925,Heterogeneous Compound Symmetry
WEEK 26,13,Xanomeline Low Dose,54,BASO,Basophils (GI/L),TRTAN*VISITNUM,-0.01004,0.004468,Heterogeneous Compound Symmetry
WEEK 26,13,Xanomeline High Dose,81,BASO,Basophils (GI/L),TRTAN*VISITNUM,-0.00051,0.004293,Heterogeneous Compound Symmetry
,_,Placebo,0,BASO,Basophils (GI/L),TRTAN,-0.00975,0.000845,Heterogeneous First Order Autoregressive
,_,Xanomeline Low Dose,54,BASO,Basophils (GI/L),TRTAN,-0.00584,0.001046,Heterogeneous First Order Autoregressive
,_,Xanomeline High Dose,81,BASO,Basophils (GI/L),TRTAN,-0.00220,0.001038,Heterogeneous First Order Autoregressive
WEEK 2,4,Placebo,0,BASO,Basophils (GI/L),TRTAN*VISITNUM,-0.00798,0.002388,Heterogeneous First Order Autoregressive
WEEK 2,4,Xanomeline Low Dose,54,BASO,Basophils (GI/L),TRTAN*VISITNUM,-0.00195,0.002347,Heterogeneous First Order Autoregressive
WEEK 2,4,Xanomeline High Dose,81,BASO,Basophils (GI/L),TRTAN*VISITNUM,-0.00523,0.002374,Heterogeneous First Order Autoregressive
WEEK 4,5,Placebo,0,BASO,Basophils (GI/L),TRTAN*VISITNUM,-0.01291,0.002388,Heterogeneous First Order Autoregressive
WEEK 4,5,Xanomeline Low Dose,54,BASO,Basophils (GI/L),TRTAN*VISITNUM,-0.00555,0.002511,Heterogeneous First Order Autoregressive
WEEK 4,5,Xanomeline High Dose,81,BASO,Basophils (GI/L),TRTAN*VISITNUM,-0.00652,0.002528,Heterogeneous First Order Autoregressive
WEEK 6,7,Placebo,0,BASO,Basophils (GI/L),TRTAN*VISITNUM,-0.00989,0.002527,Heterogeneous First Order Autoregressive
WEEK 6,7,Xanomeline Low Dose,54,BASO,Basophils (GI/L),TRTAN*VISITNUM,-0.00532,0.002736,Heterogeneous First Order Autoregressive
WEEK 6,7,Xanomeline High Dose,81,BASO,Basophils (GI/L),TRTAN*VISITNUM,0.001819,0.002598,Heterogeneous First Order Autoregressive
