reftrta,reftrtan,VISIT,VISITNUM,TRTA,TRTAN,PARAMCD,PARAM,lsmeans_difference,pval_interaction,lowerci95,upperci95,covariatestructure
Placebo,0,WEEK 12,9,Xanomeline Low Dose,54,WBC,Leukocytes (GI/L),0.6264,0.00446334715390008,0.1949,1.0580,Unstructured
Xanomeline High Dose,81,WEEK 12,9,Xanomeline Low Dose,54,WBC,Leukocytes (GI/L),0.2499,0.26349463792685000,-0.1883,0.6880,Unstructured
Placebo,0,WEEK 12,9,Xanomeline High Dose,81,WBC,Leukocytes (GI/L),0.3766,0.08319600239608000,-0.04951,0.8026,Unstructured
Placebo,0,WEEK 16,10,Xanomeline Low Dose,54,WBC,Leukocytes (GI/L),0.5283,0.02227113800451100,0.07539,0.9813,Unstructured
Xanomeline High Dose,81,WEEK 16,10,Xanomeline Low Dose,54,WBC,Leukocytes (GI/L),0.1050,0.68776131383964000,-0.4074,0.6174,Unstructured
Placebo,0,WEEK 16,10,Xanomeline High Dose,81,WBC,Leukocytes (GI/L),0.4233,0.08059763974730000,-0.05160,0.8983,Unstructured
Placebo,0,WEEK 20,11,Xanomeline Low Dose,54,WBC,Leukocytes (GI/L),0.5097,0.04424982406296080,0.01313,1.0063,Unstructured
Xanomeline High Dose,81,WEEK 20,11,Xanomeline Low Dose,54,WBC,Leukocytes (GI/L),0.4076,0.17176456108258000,-0.1772,0.9923,Unstructured
Placebo,0,WEEK 20,11,Xanomeline High Dose,81,WBC,Leukocytes (GI/L),0.1022,0.69232541429760000,-0.4042,0.6085,Unstructured
Placebo,0,WEEK 24,12,Xanomeline Low Dose,54,WBC,Leukocytes (GI/L),0.04470,0.83272019647501000,-0.3704,0.4598,Unstructured
Xanomeline High Dose,81,WEEK 24,12,Xanomeline Low Dose,54,WBC,Leukocytes (GI/L),-0.08881,0.71116817551765000,-0.5591,0.3815,Unstructured
Placebo,0,WEEK 24,12,Xanomeline High Dose,81,WBC,Leukocytes (GI/L),0.1335,0.50038076875508000,-0.2550,0.5220,Unstructured
Placebo,0,WEEK 26,13,Xanomeline Low Dose,54,WBC,Leukocytes (GI/L),-0.01533,0.95922159691161000,-0.6032,0.5725,Unstructured
Xanomeline High Dose,81,WEEK 26,13,Xanomeline Low Dose,54,WBC,Leukocytes (GI/L),-0.2395,0.49102874459665000,-0.9214,0.4424,Unstructured
Placebo,0,WEEK 26,13,Xanomeline High Dose,81,WBC,Leukocytes (GI/L),0.2242,0.44187913662731000,-0.3474,0.7958,Unstructured
Placebo,0,WEEK 2,4,Xanomeline Low Dose,54,WBC,Leukocytes (GI/L),0.5198,0.00572852973287841,0.1513,0.8883,Toeplitz
Xanomeline High Dose,81,WEEK 2,4,Xanomeline Low Dose,54,WBC,Leukocytes (GI/L),0.3167,0.09103975471648000,-0.05066,0.6840,Toeplitz
Placebo,0,WEEK 2,4,Xanomeline High Dose,81,WBC,Leukocytes (GI/L),0.2031,0.28280205752921000,-0.1677,0.5738,Toeplitz
Placebo,0,WEEK 4,5,Xanomeline Low Dose,54,WBC,Leukocytes (GI/L),0.4183,0.03158426566224520,0.03695,0.7996,Toeplitz
Xanomeline High Dose,81,WEEK 4,5,Xanomeline Low Dose,54,WBC,Leukocytes (GI/L),0.05068,0.80058768199499000,-0.3428,0.4442,Toeplitz
Placebo,0,WEEK 4,5,Xanomeline High Dose,81,WBC,Leukocytes (GI/L),0.3676,0.06073254231613610,-0.01659,0.7517,Toeplitz
Placebo,0,WEEK 6,7,Xanomeline Low Dose,54,WBC,Leukocytes (GI/L),0.5122,0.01435260026073540,0.1023,0.9222,Toeplitz
Xanomeline High Dose,81,WEEK 6,7,Xanomeline Low Dose,54,WBC,Leukocytes (GI/L),-0.3152,0.13414841409037000,-0.7276,0.09731,Toeplitz
Placebo,0,WEEK 6,7,Xanomeline High Dose,81,WBC,Leukocytes (GI/L),0.8274,0.00004395157111664,0.4312,1.2236,Toeplitz
Placebo,0,WEEK 8,8,Xanomeline Low Dose,54,WBC,Leukocytes (GI/L),0.5723,0.00646170279043356,0.1606,0.9839,Toeplitz
Xanomeline High Dose,81,WEEK 8,8,Xanomeline Low Dose,54,WBC,Leukocytes (GI/L),-0.1696,0.44234180474642000,-0.6025,0.2633,Toeplitz
Placebo,0,WEEK 8,8,Xanomeline High Dose,81,WBC,Leukocytes (GI/L),0.7419,0.00047444941453690,0.3263,1.1574,Toeplitz
Placebo,0,WEEK 12,9,Xanomeline Low Dose,54,WBC,Leukocytes (GI/L),0.6264,0.00446334715390008,0.1949,1.0580,Toeplitz
Xanomeline High Dose,81,WEEK 12,9,Xanomeline Low Dose,54,WBC,Leukocytes (GI/L),0.2499,0.26349463792685000,-0.1883,0.6880,Toeplitz
Placebo,0,WEEK 12,9,Xanomeline High Dose,81,WBC,Leukocytes (GI/L),0.3766,0.08319600239608000,-0.04951,0.8026,Toeplitz
Placebo,0,WEEK 16,10,Xanomeline Low Dose,54,WBC,Leukocytes (GI/L),0.5283,0.02227113800451100,0.07539,0.9813,Toeplitz
Xanomeline High Dose,81,WEEK 16,10,Xanomeline Low Dose,54,WBC,Leukocytes (GI/L),0.1050,0.68776131383964000,-0.4074,0.6174,Toeplitz
Placebo,0,WEEK 16,10,Xanomeline High Dose,81,WBC,Leukocytes (GI/L),0.4233,0.08059763974730000,-0.05160,0.8983,Toeplitz
Placebo,0,WEEK 20,11,Xanomeline Low Dose,54,WBC,Leukocytes (GI/L),0.5097,0.04424982406296080,0.01313,1.0063,Toeplitz
Xanomeline High Dose,81,WEEK 20,11,Xanomeline Low Dose,54,WBC,Leukocytes (GI/L),0.4076,0.17176456108258000,-0.1772,0.9923,Toeplitz
Placebo,0,WEEK 20,11,Xanomeline High Dose,81,WBC,Leukocytes (GI/L),0.1022,0.69232541429760000,-0.4042,0.6085,Toeplitz
Placebo,0,WEEK 24,12,Xanomeline Low Dose,54,WBC,Leukocytes (GI/L),0.04470,0.83272019647501000,-0.3704,0.4598,Toeplitz
Xanomeline High Dose,81,WEEK 24,12,Xanomeline Low Dose,54,WBC,Leukocytes (GI/L),-0.08881,0.71116817551765000,-0.5591,0.3815,Toeplitz
Placebo,0,WEEK 24,12,Xanomeline High Dose,81,WBC,Leukocytes (GI/L),0.1335,0.50038076875508000,-0.2550,0.5220,Toeplitz
Placebo,0,WEEK 26,13,Xanomeline Low Dose,54,WBC,Leukocytes (GI/L),-0.01533,0.95922159691161000,-0.6032,0.5725,Toeplitz
Xanomeline High Dose,81,WEEK 26,13,Xanomeline Low Dose,54,WBC,Leukocytes (GI/L),-0.2395,0.49102874459665000,-0.9214,0.4424,Toeplitz
Placebo,0,WEEK 26,13,Xanomeline High Dose,81,WBC,Leukocytes (GI/L),0.2242,0.44187913662731000,-0.3474,0.7958,Toeplitz
Placebo,0,WEEK 2,4,Xanomeline Low Dose,54,WBC,Leukocytes (GI/L),0.5198,0.00572852973287841,0.1513,0.8883,Heterogeneous First Order Autoregressive
Xanomeline High Dose,81,WEEK 2,4,Xanomeline Low Dose,54,WBC,Leukocytes (GI/L),0.3167,0.09103975471648000,-0.05066,0.6840,Heterogeneous First Order Autoregressive
Placebo,0,WEEK 2,4,Xanomeline High Dose,81,WBC,Leukocytes (GI/L),0.2031,0.28280205752921000,-0.1677,0.5738,Heterogeneous First Order Autoregressive
Placebo,0,WEEK 4,5,Xanomeline Low Dose,54,WBC,Leukocytes (GI/L),0.4183,0.03158426566224520,0.03695,0.7996,Heterogeneous First Order Autoregressive
Xanomeline High Dose,81,WEEK 4,5,Xanomeline Low Dose,54,WBC,Leukocytes (GI/L),0.05068,0.80058768199499000,-0.3428,0.4442,Heterogeneous First Order Autoregressive
Placebo,0,WEEK 4,5,Xanomeline High Dose,81,WBC,Leukocytes (GI/L),0.3676,0.06073254231613610,-0.01659,0.7517,Heterogeneous First Order Autoregressive
Placebo,0,WEEK 6,7,Xanomeline Low Dose,54,WBC,Leukocytes (GI/L),0.5122,0.01435260026073540,0.1023,0.9222,Heterogeneous First Order Autoregressive
Xanomeline High Dose,81,WEEK 6,7,Xanomeline Low Dose,54,WBC,Leukocytes (GI/L),-0.3152,0.13414841409037000,-0.7276,0.09731,Heterogeneous First Order Autoregressive
Placebo,0,WEEK 6,7,Xanomeline High Dose,81,WBC,Leukocytes (GI/L),0.8274,0.00004395157111664,0.4312,1.2236,Heterogeneous First Order Autoregressive
Placebo,0,WEEK 8,8,Xanomeline Low Dose,54,WBC,Leukocytes (GI/L),0.5723,0.00646170279043356,0.1606,0.9839,Heterogeneous First Order Autoregressive
Xanomeline High Dose,81,WEEK 8,8,Xanomeline Low Dose,54,WBC,Leukocytes (GI/L),-0.1696,0.44234180474642000,-0.6025,0.2633,Heterogeneous First Order Autoregressive
Placebo,0,WEEK 8,8,Xanomeline High Dose,81,WBC,Leukocytes (GI/L),0.7419,0.00047444941453690,0.3263,1.1574,Heterogeneous First Order Autoregressive
Placebo,0,WEEK 12,9,Xanomeline Low Dose,54,WBC,Leukocytes (GI/L),0.6264,0.00446334715390008,0.1949,1.0580,Heterogeneous First Order Autoregressive
Xanomeline High Dose,81,WEEK 12,9,Xanomeline Low Dose,54,WBC,Leukocytes (GI/L),0.2499,0.26349463792685000,-0.1883,0.6880,Heterogeneous First Order Autoregressive
Placebo,0,WEEK 12,9,Xanomeline High Dose,81,WBC,Leukocytes (GI/L),0.3766,0.08319600239608000,-0.04951,0.8026,Heterogeneous First Order Autoregressive
Placebo,0,WEEK 16,10,Xanomeline Low Dose,54,WBC,Leukocytes (GI/L),0.5283,0.02227113800451100,0.07539,0.9813,Heterogeneous First Order Autoregressive
Xanomeline High Dose,81,WEEK 16,10,Xanomeline Low Dose,54,WBC,Leukocytes (GI/L),0.1050,0.68776131383964000,-0.4074,0.6174,Heterogeneous First Order Autoregressive
Placebo,0,WEEK 16,10,Xanomeline High Dose,81,WBC,Leukocytes (GI/L),0.4233,0.08059763974730000,-0.05160,0.8983,Heterogeneous First Order Autoregressive
Placebo,0,WEEK 20,11,Xanomeline Low Dose,54,WBC,Leukocytes (GI/L),0.5097,0.04424982406296080,0.01313,1.0063,Heterogeneous First Order Autoregressive
Xanomeline High Dose,81,WEEK 20,11,Xanomeline Low Dose,54,WBC,Leukocytes (GI/L),0.4076,0.17176456108258000,-0.1772,0.9923,Heterogeneous First Order Autoregressive
Placebo,0,WEEK 20,11,Xanomeline High Dose,81,WBC,Leukocytes (GI/L),0.1022,0.69232541429760000,-0.4042,0.6085,Heterogeneous First Order Autoregressive
Placebo,0,WEEK 24,12,Xanomeline Low Dose,54,WBC,Leukocytes (GI/L),0.04470,0.83272019647501000,-0.3704,0.4598,Heterogeneous First Order Autoregressive
Xanomeline High Dose,81,WEEK 24,12,Xanomeline Low Dose,54,WBC,Leukocytes (GI/L),-0.08881,0.71116817551765000,-0.5591,0.3815,Heterogeneous First Order Autoregressive
Placebo,0,WEEK 24,12,Xanomeline High Dose,81,WBC,Leukocytes (GI/L),0.1335,0.50038076875508000,-0.2550,0.5220,Heterogeneous First Order Autoregressive
Placebo,0,WEEK 26,13,Xanomeline Low Dose,54,WBC,Leukocytes (GI/L),-0.01533,0.95922159691161000,-0.6032,0.5725,Heterogeneous First Order Autoregressive
Xanomeline High Dose,81,WEEK 26,13,Xanomeline Low Dose,54,WBC,Leukocytes (GI/L),-0.2395,0.49102874459665000,-0.9214,0.4424,Heterogeneous First Order Autoregressive
Placebo,0,WEEK 26,13,Xanomeline High Dose,81,WBC,Leukocytes (GI/L),0.2242,0.44187913662731000,-0.3474,0.7958,Heterogeneous First Order Autoregressive
Placebo,0,WEEK 2,4,Xanomeline Low Dose,54,WBC,Leukocytes (GI/L),0.5198,0.00572852973287841,0.1513,0.8883,Heterogeneous Compound Symmetry
Xanomeline High Dose,81,WEEK 2,4,Xanomeline Low Dose,54,WBC,Leukocytes (GI/L),0.3167,0.09103975471648000,-0.05066,0.6840,Heterogeneous Compound Symmetry
Placebo,0,WEEK 2,4,Xanomeline High Dose,81,WBC,Leukocytes (GI/L),0.2031,0.28280205752921000,-0.1677,0.5738,Heterogeneous Compound Symmetry
Placebo,0,WEEK 4,5,Xanomeline Low Dose,54,WBC,Leukocytes (GI/L),0.4183,0.03158426566224520,0.03695,0.7996,Heterogeneous Compound Symmetry
Xanomeline High Dose,81,WEEK 4,5,Xanomeline Low Dose,54,WBC,Leukocytes (GI/L),0.05068,0.80058768199499000,-0.3428,0.4442,Heterogeneous Compound Symmetry
Placebo,0,WEEK 4,5,Xanomeline High Dose,81,WBC,Leukocytes (GI/L),0.3676,0.06073254231613610,-0.01659,0.7517,Heterogeneous Compound Symmetry
Placebo,0,WEEK 6,7,Xanomeline Low Dose,54,WBC,Leukocytes (GI/L),0.5122,0.01435260026073540,0.1023,0.9222,Heterogeneous Compound Symmetry
Xanomeline High Dose,81,WEEK 6,7,Xanomeline Low Dose,54,WBC,Leukocytes (GI/L),-0.3152,0.13414841409037000,-0.7276,0.09731,Heterogeneous Compound Symmetry
Placebo,0,WEEK 6,7,Xanomeline High Dose,81,WBC,Leukocytes (GI/L),0.8274,0.00004395157111664,0.4312,1.2236,Heterogeneous Compound Symmetry
Placebo,0,WEEK 8,8,Xanomeline Low Dose,54,WBC,Leukocytes (GI/L),0.5723,0.00646170279043356,0.1606,0.9839,Heterogeneous Compound Symmetry
Xanomeline High Dose,81,WEEK 8,8,Xanomeline Low Dose,54,WBC,Leukocytes (GI/L),-0.1696,0.44234180474642000,-0.6025,0.2633,Heterogeneous Compound Symmetry
Placebo,0,WEEK 8,8,Xanomeline High Dose,81,WBC,Leukocytes (GI/L),0.7419,0.00047444941453690,0.3263,1.1574,Heterogeneous Compound Symmetry
Placebo,0,WEEK 12,9,Xanomeline Low Dose,54,WBC,Leukocytes (GI/L),0.6264,0.00446334715390008,0.1949,1.0580,Heterogeneous Compound Symmetry
Xanomeline High Dose,81,WEEK 12,9,Xanomeline Low Dose,54,WBC,Leukocytes (GI/L),0.2499,0.26349463792685000,-0.1883,0.6880,Heterogeneous Compound Symmetry
Placebo,0,WEEK 12,9,Xanomeline High Dose,81,WBC,Leukocytes (GI/L),0.3766,0.08319600239608000,-0.04951,0.8026,Heterogeneous Compound Symmetry
Placebo,0,WEEK 16,10,Xanomeline Low Dose,54,WBC,Leukocytes (GI/L),0.5283,0.02227113800451100,0.07539,0.9813,Heterogeneous Compound Symmetry
Xanomeline High Dose,81,WEEK 16,10,Xanomeline Low Dose,54,WBC,Leukocytes (GI/L),0.1050,0.68776131383964000,-0.4074,0.6174,Heterogeneous Compound Symmetry
Placebo,0,WEEK 16,10,Xanomeline High Dose,81,WBC,Leukocytes (GI/L),0.4233,0.08059763974730000,-0.05160,0.8983,Heterogeneous Compound Symmetry
Placebo,0,WEEK 20,11,Xanomeline Low Dose,54,WBC,Leukocytes (GI/L),0.5097,0.04424982406296080,0.01313,1.0063,Heterogeneous Compound Symmetry
Xanomeline High Dose,81,WEEK 20,11,Xanomeline Low Dose,54,WBC,Leukocytes (GI/L),0.4076,0.17176456108258000,-0.1772,0.9923,Heterogeneous Compound Symmetry
Placebo,0,WEEK 20,11,Xanomeline High Dose,81,WBC,Leukocytes (GI/L),0.1022,0.69232541429760000,-0.4042,0.6085,Heterogeneous Compound Symmetry
Placebo,0,WEEK 24,12,Xanomeline Low Dose,54,WBC,Leukocytes (GI/L),0.04470,0.83272019647501000,-0.3704,0.4598,Heterogeneous Compound Symmetry
Xanomeline High Dose,81,WEEK 24,12,Xanomeline Low Dose,54,WBC,Leukocytes (GI/L),-0.08881,0.71116817551765000,-0.5591,0.3815,Heterogeneous Compound Symmetry
Placebo,0,WEEK 24,12,Xanomeline High Dose,81,WBC,Leukocytes (GI/L),0.1335,0.50038076875508000,-0.2550,0.5220,Heterogeneous Compound Symmetry
Placebo,0,WEEK 26,13,Xanomeline Low Dose,54,WBC,Leukocytes (GI/L),-0.01533,0.95922159691161000,-0.6032,0.5725,Heterogeneous Compound Symmetry
Xanomeline High Dose,81,WEEK 26,13,Xanomeline Low Dose,54,WBC,Leukocytes (GI/L),-0.2395,0.49102874459665000,-0.9214,0.4424,Heterogeneous Compound Symmetry
Placebo,0,WEEK 26,13,Xanomeline High Dose,81,WBC,Leukocytes (GI/L),0.2242,0.44187913662731000,-0.3474,0.7958,Heterogeneous Compound Symmetry
Placebo,0,WEEK 2,4,Xanomeline Low Dose,54,WBC,Leukocytes (GI/L),0.5198,0.00572852973287841,0.1513,0.8883,First Order Autoregressive
Xanomeline High Dose,81,WEEK 2,4,Xanomeline Low Dose,54,WBC,Leukocytes (GI/L),0.3167,0.09103975471648000,-0.05066,0.6840,First Order Autoregressive
Placebo,0,WEEK 2,4,Xanomeline High Dose,81,WBC,Leukocytes (GI/L),0.2031,0.28280205752921000,-0.1677,0.5738,First Order Autoregressive
Placebo,0,WEEK 4,5,Xanomeline Low Dose,54,WBC,Leukocytes (GI/L),0.4183,0.03158426566224520,0.03695,0.7996,First Order Autoregressive
Xanomeline High Dose,81,WEEK 4,5,Xanomeline Low Dose,54,WBC,Leukocytes (GI/L),0.05068,0.80058768199499000,-0.3428,0.4442,First Order Autoregressive
Placebo,0,WEEK 4,5,Xanomeline High Dose,81,WBC,Leukocytes (GI/L),0.3676,0.06073254231613610,-0.01659,0.7517,First Order Autoregressive
Placebo,0,WEEK 6,7,Xanomeline Low Dose,54,WBC,Leukocytes (GI/L),0.5122,0.01435260026073540,0.1023,0.9222,First Order Autoregressive
Xanomeline High Dose,81,WEEK 6,7,Xanomeline Low Dose,54,WBC,Leukocytes (GI/L),-0.3152,0.13414841409037000,-0.7276,0.09731,First Order Autoregressive
Placebo,0,WEEK 6,7,Xanomeline High Dose,81,WBC,Leukocytes (GI/L),0.8274,0.00004395157111664,0.4312,1.2236,First Order Autoregressive
Placebo,0,WEEK 8,8,Xanomeline Low Dose,54,WBC,Leukocytes (GI/L),0.5723,0.00646170279043356,0.1606,0.9839,First Order Autoregressive
Xanomeline High Dose,81,WEEK 8,8,Xanomeline Low Dose,54,WBC,Leukocytes (GI/L),-0.1696,0.44234180474642000,-0.6025,0.2633,First Order Autoregressive
Placebo,0,WEEK 8,8,Xanomeline High Dose,81,WBC,Leukocytes (GI/L),0.7419,0.00047444941453690,0.3263,1.1574,First Order Autoregressive
Placebo,0,WEEK 12,9,Xanomeline Low Dose,54,WBC,Leukocytes (GI/L),0.6264,0.00446334715390008,0.1949,1.0580,First Order Autoregressive
Xanomeline High Dose,81,WEEK 12,9,Xanomeline Low Dose,54,WBC,Leukocytes (GI/L),0.2499,0.26349463792685000,-0.1883,0.6880,First Order Autoregressive
Placebo,0,WEEK 12,9,Xanomeline High Dose,81,WBC,Leukocytes (GI/L),0.3766,0.08319600239608000,-0.04951,0.8026,First Order Autoregressive
Placebo,0,WEEK 16,10,Xanomeline Low Dose,54,WBC,Leukocytes (GI/L),0.5283,0.02227113800451100,0.07539,0.9813,First Order Autoregressive
Xanomeline High Dose,81,WEEK 16,10,Xanomeline Low Dose,54,WBC,Leukocytes (GI/L),0.1050,0.68776131383964000,-0.4074,0.6174,First Order Autoregressive
Placebo,0,WEEK 16,10,Xanomeline High Dose,81,WBC,Leukocytes (GI/L),0.4233,0.08059763974730000,-0.05160,0.8983,First Order Autoregressive
Placebo,0,WEEK 20,11,Xanomeline Low Dose,54,WBC,Leukocytes (GI/L),0.5097,0.04424982406296080,0.01313,1.0063,First Order Autoregressive
Xanomeline High Dose,81,WEEK 20,11,Xanomeline Low Dose,54,WBC,Leukocytes (GI/L),0.4076,0.17176456108258000,-0.1772,0.9923,First Order Autoregressive
Placebo,0,WEEK 20,11,Xanomeline High Dose,81,WBC,Leukocytes (GI/L),0.1022,0.69232541429760000,-0.4042,0.6085,First Order Autoregressive
Placebo,0,WEEK 24,12,Xanomeline Low Dose,54,WBC,Leukocytes (GI/L),0.04470,0.83272019647501000,-0.3704,0.4598,First Order Autoregressive
Xanomeline High Dose,81,WEEK 24,12,Xanomeline Low Dose,54,WBC,Leukocytes (GI/L),-0.08881,0.71116817551765000,-0.5591,0.3815,First Order Autoregressive
Placebo,0,WEEK 24,12,Xanomeline High Dose,81,WBC,Leukocytes (GI/L),0.1335,0.50038076875508000,-0.2550,0.5220,First Order Autoregressive
Placebo,0,WEEK 26,13,Xanomeline Low Dose,54,WBC,Leukocytes (GI/L),-0.01533,0.95922159691161000,-0.6032,0.5725,First Order Autoregressive
Xanomeline High Dose,81,WEEK 26,13,Xanomeline Low Dose,54,WBC,Leukocytes (GI/L),-0.2395,0.49102874459665000,-0.9214,0.4424,First Order Autoregressive
Placebo,0,WEEK 26,13,Xanomeline High Dose,81,WBC,Leukocytes (GI/L),0.2242,0.44187913662731000,-0.3474,0.7958,First Order Autoregressive
Placebo,0,WEEK 2,4,Xanomeline Low Dose,54,WBC,Leukocytes (GI/L),0.5198,0.00572852973287841,0.1513,0.8883,Compound Symmetry
Xanomeline High Dose,81,WEEK 2,4,Xanomeline Low Dose,54,WBC,Leukocytes (GI/L),0.3167,0.09103975471648000,-0.05066,0.6840,Compound Symmetry
Placebo,0,WEEK 2,4,Xanomeline High Dose,81,WBC,Leukocytes (GI/L),0.2031,0.28280205752921000,-0.1677,0.5738,Compound Symmetry
Placebo,0,WEEK 4,5,Xanomeline Low Dose,54,WBC,Leukocytes (GI/L),0.4183,0.03158426566224520,0.03695,0.7996,Compound Symmetry
Xanomeline High Dose,81,WEEK 4,5,Xanomeline Low Dose,54,WBC,Leukocytes (GI/L),0.05068,0.80058768199499000,-0.3428,0.4442,Compound Symmetry
Placebo,0,WEEK 4,5,Xanomeline High Dose,81,WBC,Leukocytes (GI/L),0.3676,0.06073254231613610,-0.01659,0.7517,Compound Symmetry
Placebo,0,WEEK 6,7,Xanomeline Low Dose,54,WBC,Leukocytes (GI/L),0.5122,0.01435260026073540,0.1023,0.9222,Compound Symmetry
Xanomeline High Dose,81,WEEK 6,7,Xanomeline Low Dose,54,WBC,Leukocytes (GI/L),-0.3152,0.13414841409037000,-0.7276,0.09731,Compound Symmetry
Placebo,0,WEEK 6,7,Xanomeline High Dose,81,WBC,Leukocytes (GI/L),0.8274,0.00004395157111664,0.4312,1.2236,Compound Symmetry
Placebo,0,WEEK 8,8,Xanomeline Low Dose,54,WBC,Leukocytes (GI/L),0.5723,0.00646170279043356,0.1606,0.9839,Compound Symmetry
Xanomeline High Dose,81,WEEK 8,8,Xanomeline Low Dose,54,WBC,Leukocytes (GI/L),-0.1696,0.44234180474642000,-0.6025,0.2633,Compound Symmetry
Placebo,0,WEEK 8,8,Xanomeline High Dose,81,WBC,Leukocytes (GI/L),0.7419,0.00047444941453690,0.3263,1.1574,Compound Symmetry
Placebo,0,WEEK 12,9,Xanomeline Low Dose,54,WBC,Leukocytes (GI/L),0.6264,0.00446334715390008,0.1949,1.0580,Compound Symmetry
Xanomeline High Dose,81,WEEK 12,9,Xanomeline Low Dose,54,WBC,Leukocytes (GI/L),0.2499,0.26349463792685000,-0.1883,0.6880,Compound Symmetry
Placebo,0,WEEK 12,9,Xanomeline High Dose,81,WBC,Leukocytes (GI/L),0.3766,0.08319600239608000,-0.04951,0.8026,Compound Symmetry
Placebo,0,WEEK 16,10,Xanomeline Low Dose,54,WBC,Leukocytes (GI/L),0.5283,0.02227113800451100,0.07539,0.9813,Compound Symmetry
Xanomeline High Dose,81,WEEK 16,10,Xanomeline Low Dose,54,WBC,Leukocytes (GI/L),0.1050,0.68776131383964000,-0.4074,0.6174,Compound Symmetry
Placebo,0,WEEK 16,10,Xanomeline High Dose,81,WBC,Leukocytes (GI/L),0.4233,0.08059763974730000,-0.05160,0.8983,Compound Symmetry
Placebo,0,WEEK 20,11,Xanomeline Low Dose,54,WBC,Leukocytes (GI/L),0.5097,0.04424982406296080,0.01313,1.0063,Compound Symmetry
Xanomeline High Dose,81,WEEK 20,11,Xanomeline Low Dose,54,WBC,Leukocytes (GI/L),0.4076,0.17176456108258000,-0.1772,0.9923,Compound Symmetry
Placebo,0,WEEK 20,11,Xanomeline High Dose,81,WBC,Leukocytes (GI/L),0.1022,0.69232541429760000,-0.4042,0.6085,Compound Symmetry
Placebo,0,WEEK 24,12,Xanomeline Low Dose,54,WBC,Leukocytes (GI/L),0.04470,0.83272019647501000,-0.3704,0.4598,Compound Symmetry
Xanomeline High Dose,81,WEEK 24,12,Xanomeline Low Dose,54,WBC,Leukocytes (GI/L),-0.08881,0.71116817551765000,-0.5591,0.3815,Compound Symmetry
Placebo,0,WEEK 24,12,Xanomeline High Dose,81,WBC,Leukocytes (GI/L),0.1335,0.50038076875508000,-0.2550,0.5220,Compound Symmetry
Placebo,0,WEEK 26,13,Xanomeline Low Dose,54,WBC,Leukocytes (GI/L),-0.01533,0.95922159691161000,-0.6032,0.5725,Compound Symmetry
Xanomeline High Dose,81,WEEK 26,13,Xanomeline Low Dose,54,WBC,Leukocytes (GI/L),-0.2395,0.49102874459665000,-0.9214,0.4424,Compound Symmetry
Placebo,0,WEEK 26,13,Xanomeline High Dose,81,WBC,Leukocytes (GI/L),0.2242,0.44187913662731000,-0.3474,0.7958,Compound Symmetry
Placebo,0,WEEK 2,4,Xanomeline Low Dose,54,RBC,Erythrocytes (TI/L),-0.04576,0.19702016418042000,-0.1153,0.02378,Unstructured
Xanomeline High Dose,81,WEEK 2,4,Xanomeline Low Dose,54,RBC,Erythrocytes (TI/L),-0.03963,0.26330787175623000,-0.1091,0.02984,Unstructured
Placebo,0,WEEK 2,4,Xanomeline High Dose,81,RBC,Erythrocytes (TI/L),-0.00612,0.86395123140506000,-0.07622,0.06397,Unstructured
Placebo,0,WEEK 4,5,Xanomeline Low Dose,54,RBC,Erythrocytes (TI/L),-0.05979,0.10343561317246000,-0.1318,0.01219,Unstructured
