reftrta,reftrtan,VISIT,VISITNUM,TRTA,TRTAN,PARAMCD,PARAM,lsmeans_difference,pval_interaction,lowerci95,upperci95,covariatestructure
Placebo,0,WEEK 20,11,Xanomeline Low Dose,54,WBC,Leukocytes (GI/L),0.5422,0.03389883079293650,0.04128,1.0430,Toeplitz
Xanomeline High Dose,81,WEEK 20,11,Xanomeline Low Dose,54,WBC,Leukocytes (GI/L),0.4430,0.14049195535214000,-0.1462,1.0321,Toeplitz
Placebo,0,WEEK 20,11,Xanomeline High Dose,81,WBC,Leukocytes (GI/L),0.09919,0.70127081730968000,-0.4079,0.6063,Toeplitz
Placebo,0,WEEK 24,12,Xanomeline Low Dose,54,WBC,Leukocytes (GI/L),0.05503,0.79712680018579000,-0.3648,0.4748,Toeplitz
Xanomeline High Dose,81,WEEK 24,12,Xanomeline Low Dose,54,WBC,Leukocytes (GI/L),-0.08077,0.73784420699130000,-0.5540,0.3925,Toeplitz
Placebo,0,WEEK 24,12,Xanomeline High Dose,81,WBC,Leukocytes (GI/L),0.1358,0.49393299373635000,-0.2535,0.5251,Toeplitz
Placebo,0,WEEK 26,13,Xanomeline Low Dose,54,WBC,Leukocytes (GI/L),-0.03782,0.90020568990781000,-0.6293,0.5536,Toeplitz
Xanomeline High Dose,81,WEEK 26,13,Xanomeline Low Dose,54,WBC,Leukocytes (GI/L),-0.2601,0.45653583284549000,-0.9450,0.4249,Toeplitz
Placebo,0,WEEK 26,13,Xanomeline High Dose,81,WBC,Leukocytes (GI/L),0.2222,0.44647398595996000,-0.3502,0.7947,Toeplitz
Placebo,0,WEEK 2,4,Xanomeline Low Dose,54,WBC,Leukocytes (GI/L),0.5144,0.00639251243414181,0.1449,0.8839,Heterogeneous First Order Autoregressive
Xanomeline High Dose,81,WEEK 2,4,Xanomeline Low Dose,54,WBC,Leukocytes (GI/L),0.3196,0.08867806762207000,-0.04840,0.6876,Heterogeneous First Order Autoregressive
Placebo,0,WEEK 2,4,Xanomeline High Dose,81,WBC,Leukocytes (GI/L),0.1948,0.30508776463788000,-0.1776,0.5671,Heterogeneous First Order Autoregressive
Placebo,0,WEEK 4,5,Xanomeline Low Dose,54,WBC,Leukocytes (GI/L),0.4187,0.03164319924851280,0.03686,0.8006,Heterogeneous First Order Autoregressive
Xanomeline High Dose,81,WEEK 4,5,Xanomeline Low Dose,54,WBC,Leukocytes (GI/L),0.04733,0.81417151363742000,-0.3475,0.4422,Heterogeneous First Order Autoregressive
Placebo,0,WEEK 4,5,Xanomeline High Dose,81,WBC,Leukocytes (GI/L),0.3714,0.05916561628426760,-0.01439,0.7572,Heterogeneous First Order Autoregressive
Placebo,0,WEEK 6,7,Xanomeline Low Dose,54,WBC,Leukocytes (GI/L),0.5046,0.01614714061898240,0.09359,0.9156,Heterogeneous First Order Autoregressive
Xanomeline High Dose,81,WEEK 6,7,Xanomeline Low Dose,54,WBC,Leukocytes (GI/L),-0.3109,0.14018380868302000,-0.7241,0.1023,Heterogeneous First Order Autoregressive
Placebo,0,WEEK 6,7,Xanomeline High Dose,81,WBC,Leukocytes (GI/L),0.8155,0.00006083810844246,0.4176,1.2134,Heterogeneous First Order Autoregressive
Placebo,0,WEEK 8,8,Xanomeline Low Dose,54,WBC,Leukocytes (GI/L),0.5726,0.00650715451363537,0.1604,0.9848,Heterogeneous First Order Autoregressive
Xanomeline High Dose,81,WEEK 8,8,Xanomeline Low Dose,54,WBC,Leukocytes (GI/L),-0.1622,0.46521169777204000,-0.5977,0.2733,Heterogeneous First Order Autoregressive
Placebo,0,WEEK 8,8,Xanomeline High Dose,81,WBC,Leukocytes (GI/L),0.7348,0.00057828485145068,0.3168,1.1527,Heterogeneous First Order Autoregressive
Placebo,0,WEEK 12,9,Xanomeline Low Dose,54,WBC,Leukocytes (GI/L),0.6255,0.00458217953817515,0.1933,1.0577,Heterogeneous First Order Autoregressive
Xanomeline High Dose,81,WEEK 12,9,Xanomeline Low Dose,54,WBC,Leukocytes (GI/L),0.2408,0.28286540625574000,-0.1989,0.6805,Heterogeneous First Order Autoregressive
Placebo,0,WEEK 12,9,Xanomeline High Dose,81,WBC,Leukocytes (GI/L),0.3847,0.07767647786105000,-0.04270,0.8121,Heterogeneous First Order Autoregressive
Placebo,0,WEEK 16,10,Xanomeline Low Dose,54,WBC,Leukocytes (GI/L),0.5348,0.02166625206262420,0.07840,0.9911,Heterogeneous First Order Autoregressive
Xanomeline High Dose,81,WEEK 16,10,Xanomeline Low Dose,54,WBC,Leukocytes (GI/L),0.1106,0.67371073938910000,-0.4044,0.6255,Heterogeneous First Order Autoregressive
Placebo,0,WEEK 16,10,Xanomeline High Dose,81,WBC,Leukocytes (GI/L),0.4242,0.08045775477252000,-0.05148,0.8999,Heterogeneous First Order Autoregressive
Placebo,0,WEEK 20,11,Xanomeline Low Dose,54,WBC,Leukocytes (GI/L),0.5422,0.03389883079293650,0.04128,1.0430,Heterogeneous First Order Autoregressive
Xanomeline High Dose,81,WEEK 20,11,Xanomeline Low Dose,54,WBC,Leukocytes (GI/L),0.4430,0.14049195535214000,-0.1462,1.0321,Heterogeneous First Order Autoregressive
Placebo,0,WEEK 20,11,Xanomeline High Dose,81,WBC,Leukocytes (GI/L),0.09919,0.70127081730968000,-0.4079,0.6063,Heterogeneous First Order Autoregressive
Placebo,0,WEEK 24,12,Xanomeline Low Dose,54,WBC,Leukocytes (GI/L),0.05503,0.79712680018579000,-0.3648,0.4748,Heterogeneous First Order Autoregressive
Xanomeline High Dose,81,WEEK 24,12,Xanomeline Low Dose,54,WBC,Leukocytes (GI/L),-0.08077,0.73784420699130000,-0.5540,0.3925,Heterogeneous First Order Autoregressive
Placebo,0,WEEK 24,12,Xanomeline High Dose,81,WBC,Leukocytes (GI/L),0.1358,0.49393299373635000,-0.2535,0.5251,Heterogeneous First Order Autoregressive
Placebo,0,WEEK 26,13,Xanomeline Low Dose,54,WBC,Leukocytes (GI/L),-0.03782,0.90020568990781000,-0.6293,0.5536,Heterogeneous First Order Autoregressive
Xanomeline High Dose,81,WEEK 26,13,Xanomeline Low Dose,54,WBC,Leukocytes (GI/L),-0.2601,0.45653583284549000,-0.9450,0.4249,Heterogeneous First Order Autoregressive
Placebo,0,WEEK 26,13,Xanomeline High Dose,81,WBC,Leukocytes (GI/L),0.2222,0.44647398595996000,-0.3502,0.7947,Heterogeneous First Order Autoregressive
Placebo,0,WEEK 2,4,Xanomeline Low Dose,54,WBC,Leukocytes (GI/L),0.5144,0.00639251243414181,0.1449,0.8839,Heterogeneous Compound Symmetry
Xanomeline High Dose,81,WEEK 2,4,Xanomeline Low Dose,54,WBC,Leukocytes (GI/L),0.3196,0.08867806762207000,-0.04840,0.6876,Heterogeneous Compound Symmetry
Placebo,0,WEEK 2,4,Xanomeline High Dose,81,WBC,Leukocytes (GI/L),0.1948,0.30508776463788000,-0.1776,0.5671,Heterogeneous Compound Symmetry
Placebo,0,WEEK 4,5,Xanomeline Low Dose,54,WBC,Leukocytes (GI/L),0.4187,0.03164319924851280,0.03686,0.8006,Heterogeneous Compound Symmetry
Xanomeline High Dose,81,WEEK 4,5,Xanomeline Low Dose,54,WBC,Leukocytes (GI/L),0.04733,0.81417151363742000,-0.3475,0.4422,Heterogeneous Compound Symmetry
Placebo,0,WEEK 4,5,Xanomeline High Dose,81,WBC,Leukocytes (GI/L),0.3714,0.05916561628426760,-0.01439,0.7572,Heterogeneous Compound Symmetry
Placebo,0,WEEK 6,7,Xanomeline Low Dose,54,WBC,Leukocytes (GI/L),0.5046,0.01614714061898240,0.09359,0.9156,Heterogeneous Compound Symmetry
Xanomeline High Dose,81,WEEK 6,7,Xanomeline Low Dose,54,WBC,Leukocytes (GI/L),-0.3109,0.14018380868302000,-0.7241,0.1023,Heterogeneous Compound Symmetry
Placebo,0,WEEK 6,7,Xanomeline High Dose,81,WBC,Leukocytes (GI/L),0.8155,0.00006083810844246,0.4176,1.2134,Heterogeneous Compound Symmetry
Placebo,0,WEEK 8,8,Xanomeline Low Dose,54,WBC,Leukocytes (GI/L),0.5726,0.00650715451363537,0.1604,0.9848,Heterogeneous Compound Symmetry
Xanomeline High Dose,81,WEEK 8,8,Xanomeline Low Dose,54,WBC,Leukocytes (GI/L),-0.1622,0.46521169777204000,-0.5977,0.2733,Heterogeneous Compound Symmetry
Placebo,0,WEEK 8,8,Xanomeline High Dose,81,WBC,Leukocytes (GI/L),0.7348,0.00057828485145068,0.3168,1.1527,Heterogeneous Compound Symmetry
Placebo,0,WEEK 12,9,Xanomeline Low Dose,54,WBC,Leukocytes (GI/L),0.6255,0.00458217953817515,0.1933,1.0577,Heterogeneous Compound Symmetry
Xanomeline High Dose,81,WEEK 12,9,Xanomeline Low Dose,54,WBC,Leukocytes (GI/L),0.2408,0.28286540625574000,-0.1989,0.6805,Heterogeneous Compound Symmetry
Placebo,0,WEEK 12,9,Xanomeline High Dose,81,WBC,Leukocytes (GI/L),0.3847,0.07767647786105000,-0.04270,0.8121,Heterogeneous Compound Symmetry
Placebo,0,WEEK 16,10,Xanomeline Low Dose,54,WBC,Leukocytes (GI/L),0.5348,0.02166625206262420,0.07840,0.9911,Heterogeneous Compound Symmetry
Xanomeline High Dose,81,WEEK 16,10,Xanomeline Low Dose,54,WBC,Leukocytes (GI/L),0.1106,0.67371073938910000,-0.4044,0.6255,Heterogeneous Compound Symmetry
Placebo,0,WEEK 16,10,Xanomeline High Dose,81,WBC,Leukocytes (GI/L),0.4242,0.08045775477252000,-0.05148,0.8999,Heterogeneous Compound Symmetry
Placebo,0,WEEK 20,11,Xanomeline Low Dose,54,WBC,Leukocytes (GI/L),0.5422,0.03389883079293650,0.04128,1.0430,Heterogeneous Compound Symmetry
Xanomeline High Dose,81,WEEK 20,11,Xanomeline Low Dose,54,WBC,Leukocytes (GI/L),0.4430,0.14049195535214000,-0.1462,1.0321,Heterogeneous Compound Symmetry
Placebo,0,WEEK 20,11,Xanomeline High Dose,81,WBC,Leukocytes (GI/L),0.09919,0.70127081730968000,-0.4079,0.6063,Heterogeneous Compound Symmetry
Placebo,0,WEEK 24,12,Xanomeline Low Dose,54,WBC,Leukocytes (GI/L),0.05503,0.79712680018579000,-0.3648,0.4748,Heterogeneous Compound Symmetry
Xanomeline High Dose,81,WEEK 24,12,Xanomeline Low Dose,54,WBC,Leukocytes (GI/L),-0.08077,0.73784420699130000,-0.5540,0.3925,Heterogeneous Compound Symmetry
Placebo,0,WEEK 24,12,Xanomeline High Dose,81,WBC,Leukocytes (GI/L),0.1358,0.49393299373635000,-0.2535,0.5251,Heterogeneous Compound Symmetry
Placebo,0,WEEK 26,13,Xanomeline Low Dose,54,WBC,Leukocytes (GI/L),-0.03782,0.90020568990781000,-0.6293,0.5536,Heterogeneous Compound Symmetry
Xanomeline High Dose,81,WEEK 26,13,Xanomeline Low Dose,54,WBC,Leukocytes (GI/L),-0.2601,0.45653583284549000,-0.9450,0.4249,Heterogeneous Compound Symmetry
Placebo,0,WEEK 26,13,Xanomeline High Dose,81,WBC,Leukocytes (GI/L),0.2222,0.44647398595996000,-0.3502,0.7947,Heterogeneous Compound Symmetry
Placebo,0,WEEK 2,4,Xanomeline Low Dose,54,WBC,Leukocytes (GI/L),0.5144,0.00639251243414181,0.1449,0.8839,First Order Autoregressive
Xanomeline High Dose,81,WEEK 2,4,Xanomeline Low Dose,54,WBC,Leukocytes (GI/L),0.3196,0.08867806762207000,-0.04840,0.6876,First Order Autoregressive
Placebo,0,WEEK 2,4,Xanomeline High Dose,81,WBC,Leukocytes (GI/L),0.1948,0.30508776463788000,-0.1776,0.5671,First Order Autoregressive
Placebo,0,WEEK 4,5,Xanomeline Low Dose,54,WBC,Leukocytes (GI/L),0.4187,0.03164319924851280,0.03686,0.8006,First Order Autoregressive
Xanomeline High Dose,81,WEEK 4,5,Xanomeline Low Dose,54,WBC,Leukocytes (GI/L),0.04733,0.81417151363742000,-0.3475,0.4422,First Order Autoregressive
Placebo,0,WEEK 4,5,Xanomeline High Dose,81,WBC,Leukocytes (GI/L),0.3714,0.05916561628426760,-0.01439,0.7572,First Order Autoregressive
Placebo,0,WEEK 6,7,Xanomeline Low Dose,54,WBC,Leukocytes (GI/L),0.5046,0.01614714061898240,0.09359,0.9156,First Order Autoregressive
Xanomeline High Dose,81,WEEK 6,7,Xanomeline Low Dose,54,WBC,Leukocytes (GI/L),-0.3109,0.14018380868302000,-0.7241,0.1023,First Order Autoregressive
Placebo,0,WEEK 6,7,Xanomeline High Dose,81,WBC,Leukocytes (GI/L),0.8155,0.00006083810844246,0.4176,1.2134,First Order Autoregressive
Placebo,0,WEEK 8,8,Xanomeline Low Dose,54,WBC,Leukocytes (GI/L),0.5726,0.00650715451363537,0.1604,0.9848,First Order Autoregressive
Xanomeline High Dose,81,WEEK 8,8,Xanomeline Low Dose,54,WBC,Leukocytes (GI/L),-0.1622,0.46521169777204000,-0.5977,0.2733,First Order Autoregressive
Placebo,0,WEEK 8,8,Xanomeline High Dose,81,WBC,Leukocytes (GI/L),0.7348,0.00057828485145068,0.3168,1.1527,First Order Autoregressive
Placebo,0,WEEK 12,9,Xanomeline Low Dose,54,WBC,Leukocytes (GI/L),0.6255,0.00458217953817515,0.1933,1.0577,First Order Autoregressive
Xanomeline High Dose,81,WEEK 12,9,Xanomeline Low Dose,54,WBC,Leukocytes (GI/L),0.2408,0.28286540625574000,-0.1989,0.6805,First Order Autoregressive
Placebo,0,WEEK 12,9,Xanomeline High Dose,81,WBC,Leukocytes (GI/L),0.3847,0.07767647786105000,-0.04270,0.8121,First Order Autoregressive
Placebo,0,WEEK 16,10,Xanomeline Low Dose,54,WBC,Leukocytes (GI/L),0.5348,0.02166625206262420,0.07840,0.9911,First Order Autoregressive
Xanomeline High Dose,81,WEEK 16,10,Xanomeline Low Dose,54,WBC,Leukocytes (GI/L),0.1106,0.67371073938910000,-0.4044,0.6255,First Order Autoregressive
Placebo,0,WEEK 16,10,Xanomeline High Dose,81,WBC,Leukocytes (GI/L),0.4242,0.08045775477252000,-0.05148,0.8999,First Order Autoregressive
Placebo,0,WEEK 20,11,Xanomeline Low Dose,54,WBC,Leukocytes (GI/L),0.5422,0.03389883079293650,0.04128,1.0430,First Order Autoregressive
Xanomeline High Dose,81,WEEK 20,11,Xanomeline Low Dose,54,WBC,Leukocytes (GI/L),0.4430,0.14049195535214000,-0.1462,1.0321,First Order Autoregressive
Placebo,0,WEEK 20,11,Xanomeline High Dose,81,WBC,Leukocytes (GI/L),0.09919,0.70127081730968000,-0.4079,0.6063,First Order Autoregressive
Placebo,0,WEEK 24,12,Xanomeline Low Dose,54,WBC,Leukocytes (GI/L),0.05503,0.79712680018579000,-0.3648,0.4748,First Order Autoregressive
Xanomeline High Dose,81,WEEK 24,12,Xanomeline Low Dose,54,WBC,Leukocytes (GI/L),-0.08077,0.73784420699130000,-0.5540,0.3925,First Order Autoregressive
Placebo,0,WEEK 24,12,Xanomeline High Dose,81,WBC,Leukocytes (GI/L),0.1358,0.49393299373635000,-0.2535,0.5251,First Order Autoregressive
Placebo,0,WEEK 26,13,Xanomeline Low Dose,54,WBC,Leukocytes (GI/L),-0.03782,0.90020568990781000,-0.6293,0.5536,First Order Autoregressive
Xanomeline High Dose,81,WEEK 26,13,Xanomeline Low Dose,54,WBC,Leukocytes (GI/L),-0.2601,0.45653583284549000,-0.9450,0.4249,First Order Autoregressive
Placebo,0,WEEK 26,13,Xanomeline High Dose,81,WBC,Leukocytes (GI/L),0.2222,0.44647398595996000,-0.3502,0.7947,First Order Autoregressive
Placebo,0,WEEK 2,4,Xanomeline Low Dose,54,WBC,Leukocytes (GI/L),0.5144,0.00639251243414181,0.1449,0.8839,Compound Symmetry
Xanomeline High Dose,81,WEEK 2,4,Xanomeline Low Dose,54,WBC,Leukocytes (GI/L),0.3196,0.08867806762207000,-0.04840,0.6876,Compound Symmetry
Placebo,0,WEEK 2,4,Xanomeline High Dose,81,WBC,Leukocytes (GI/L),0.1948,0.30508776463788000,-0.1776,0.5671,Compound Symmetry
Placebo,0,WEEK 4,5,Xanomeline Low Dose,54,WBC,Leukocytes (GI/L),0.4187,0.03164319924851280,0.03686,0.8006,Compound Symmetry
Xanomeline High Dose,81,WEEK 4,5,Xanomeline Low Dose,54,WBC,Leukocytes (GI/L),0.04733,0.81417151363742000,-0.3475,0.4422,Compound Symmetry
Placebo,0,WEEK 4,5,Xanomeline High Dose,81,WBC,Leukocytes (GI/L),0.3714,0.05916561628426760,-0.01439,0.7572,Compound Symmetry
Placebo,0,WEEK 6,7,Xanomeline Low Dose,54,WBC,Leukocytes (GI/L),0.5046,0.01614714061898240,0.09359,0.9156,Compound Symmetry
Xanomeline High Dose,81,WEEK 6,7,Xanomeline Low Dose,54,WBC,Leukocytes (GI/L),-0.3109,0.14018380868302000,-0.7241,0.1023,Compound Symmetry
Placebo,0,WEEK 6,7,Xanomeline High Dose,81,WBC,Leukocytes (GI/L),0.8155,0.00006083810844246,0.4176,1.2134,Compound Symmetry
Placebo,0,WEEK 8,8,Xanomeline Low Dose,54,WBC,Leukocytes (GI/L),0.5726,0.00650715451363537,0.1604,0.9848,Compound Symmetry
Xanomeline High Dose,81,WEEK 8,8,Xanomeline Low Dose,54,WBC,Leukocytes (GI/L),-0.1622,0.46521169777204000,-0.5977,0.2733,Compound Symmetry
Placebo,0,WEEK 8,8,Xanomeline High Dose,81,WBC,Leukocytes (GI/L),0.7348,0.00057828485145068,0.3168,1.1527,Compound Symmetry
Placebo,0,WEEK 12,9,Xanomeline Low Dose,54,WBC,Leukocytes (GI/L),0.6255,0.00458217953817515,0.1933,1.0577,Compound Symmetry
Xanomeline High Dose,81,WEEK 12,9,Xanomeline Low Dose,54,WBC,Leukocytes (GI/L),0.2408,0.28286540625574000,-0.1989,0.6805,Compound Symmetry
Placebo,0,WEEK 12,9,Xanomeline High Dose,81,WBC,Leukocytes (GI/L),0.3847,0.07767647786105000,-0.04270,0.8121,Compound Symmetry
Placebo,0,WEEK 16,10,Xanomeline Low Dose,54,WBC,Leukocytes (GI/L),0.5348,0.02166625206262420,0.07840,0.9911,Compound Symmetry
Xanomeline High Dose,81,WEEK 16,10,Xanomeline Low Dose,54,WBC,Leukocytes (GI/L),0.1106,0.67371073938910000,-0.4044,0.6255,Compound Symmetry
Placebo,0,WEEK 16,10,Xanomeline High Dose,81,WBC,Leukocytes (GI/L),0.4242,0.08045775477252000,-0.05148,0.8999,Compound Symmetry
Placebo,0,WEEK 20,11,Xanomeline Low Dose,54,WBC,Leukocytes (GI/L),0.5422,0.03389883079293650,0.04128,1.0430,Compound Symmetry
Xanomeline High Dose,81,WEEK 20,11,Xanomeline Low Dose,54,WBC,Leukocytes (GI/L),0.4430,0.14049195535214000,-0.1462,1.0321,Compound Symmetry
Placebo,0,WEEK 20,11,Xanomeline High Dose,81,WBC,Leukocytes (GI/L),0.09919,0.70127081730968000,-0.4079,0.6063,Compound Symmetry
Placebo,0,WEEK 24,12,Xanomeline Low Dose,54,WBC,Leukocytes (GI/L),0.05503,0.79712680018579000,-0.3648,0.4748,Compound Symmetry
Xanomeline High Dose,81,WEEK 24,12,Xanomeline Low Dose,54,WBC,Leukocytes (GI/L),-0.08077,0.73784420699130000,-0.5540,0.3925,Compound Symmetry
Placebo,0,WEEK 24,12,Xanomeline High Dose,81,WBC,Leukocytes (GI/L),0.1358,0.49393299373635000,-0.2535,0.5251,Compound Symmetry
Placebo,0,WEEK 26,13,Xanomeline Low Dose,54,WBC,Leukocytes (GI/L),-0.03782,0.90020568990781000,-0.6293,0.5536,Compound Symmetry
Xanomeline High Dose,81,WEEK 26,13,Xanomeline Low Dose,54,WBC,Leukocytes (GI/L),-0.2601,0.45653583284549000,-0.9450,0.4249,Compound Symmetry
Placebo,0,WEEK 26,13,Xanomeline High Dose,81,WBC,Leukocytes (GI/L),0.2222,0.44647398595996000,-0.3502,0.7947,Compound Symmetry
Placebo,0,WEEK 2,4,Xanomeline Low Dose,54,RBC,Erythrocytes (TI/L),-0.04626,0.19130190293974000,-0.1157,0.02315,Unstructured
Xanomeline High Dose,81,WEEK 2,4,Xanomeline Low Dose,54,RBC,Erythrocytes (TI/L),-0.03317,0.35361423460086000,-0.1033,0.03695,Unstructured
Placebo,0,WEEK 2,4,Xanomeline High Dose,81,RBC,Erythrocytes (TI/L),-0.01309,0.71726137522368000,-0.08395,0.05778,Unstructured
Placebo,0,WEEK 4,5,Xanomeline Low Dose,54,RBC,Erythrocytes (TI/L),-0.05976,0.10314957000962000,-0.1316,0.01212,Unstructured
