"PARAMCD","weight","corr","contrast","VISIT","estimate","SE","df","lower.CL","upper.CL"
"BASO","hetroscedastic","corCompSymm","Placebo - Xanomeline High Dose","WEEK 20",-0.000342059120405251,0.00438668160640159,1433,-0.0106338418058994,0.00994972356508891
"BASO","hetroscedastic","corCompSymm","Xanomeline Low Dose - Xanomeline High Dose","WEEK 20",-0.00145211165495704,0.00502308316466479,1433,-0.0132369834510893,0.0103327601411752
"BASO","hetroscedastic","corCompSymm","Placebo - Xanomeline Low Dose","WEEK 24",-0.00305568852718539,0.00444515087387891,1433,-0.0134846484798371,0.00737327142546635
"BASO","hetroscedastic","corCompSymm","Placebo - Xanomeline High Dose","WEEK 24",-0.00509544004595924,0.00423276333180488,1433,-0.0150261084369571,0.00483522834503864
"BASO","hetroscedastic","corCompSymm","Xanomeline Low Dose - Xanomeline High Dose","WEEK 24",-0.00203975151877384,0.00495099405182312,1433,-0.0136554919418259,0.00957598890427817
"BASO","hetroscedastic","corCompSymm","Placebo - Xanomeline Low Dose","WEEK 26",-0.00198708961796443,0.00434295852334616,1433,-0.0121762916948068,0.00820211245887793
"BASO","hetroscedastic","corCompSymm","Placebo - Xanomeline High Dose","WEEK 26",-0.0103523396198053,0.0042515478785935,1433,-0.0203270792452214,-0.000377599994389147
"BASO","hetroscedastic","corCompSymm","Xanomeline Low Dose - Xanomeline High Dose","WEEK 26",-0.00836525000184085,0.00492666804071694,1433,-0.0199239181223249,0.00319341811864323
"BASO","hetroscedastic","corSymm","Placebo - Xanomeline Low Dose","WEEK 2",-0.00634034587452184,0.00332351934271964,1443,-0.0141377414702944,0.0014570497212507
"BASO","hetroscedastic","corSymm","Placebo - Xanomeline High Dose","WEEK 2",-0.00294182823670456,0.00332872134289624,1443,-0.0107514283810545,0.00486777190764541
"BASO","hetroscedastic","corSymm","Xanomeline Low Dose - Xanomeline High Dose","WEEK 2",0.00339851763781729,0.00337630115942625,1443,-0.00452271075767299,0.0113197460333076
"BASO","hetroscedastic","corSymm","Placebo - Xanomeline Low Dose","WEEK 4",-0.00754452000083538,0.00345940897041195,1443,-0.0156607298038429,0.000571689802172122
"BASO","hetroscedastic","corSymm","Placebo - Xanomeline High Dose","WEEK 4",-0.00775231235162748,0.00346295824242782,1443,-0.0158768491944777,0.000372224491222702
"BASO","hetroscedastic","corSymm","Xanomeline Low Dose - Xanomeline High Dose","WEEK 4",-0.000207792350792096,0.00356269984475013,1443,-0.00856633557376669,0.0081507508721825
"BASO","hetroscedastic","corSymm","Placebo - Xanomeline Low Dose","WEEK 6",-0.00504407263180307,0.00401876049495961,1443,-0.0144725916661531,0.004384446402547
"BASO","hetroscedastic","corSymm","Placebo - Xanomeline High Dose","WEEK 6",-0.0100793755294369,0.00398785980800088,1443,-0.0194353976544712,-0.00072335340440258
"BASO","hetroscedastic","corSymm","Xanomeline Low Dose - Xanomeline High Dose","WEEK 6",-0.00503530289763384,0.00414841842436759,1443,-0.014768015788998,0.00469740999373031
"BASO","hetroscedastic","corSymm","Placebo - Xanomeline Low Dose","WEEK 8",-0.00806548607198395,0.00370704641226647,1443,-0.0167626845497511,0.000631712405783229
"BASO","hetroscedastic","corSymm","Placebo - Xanomeline High Dose","WEEK 8",-0.0146217524420759,0.0037317158315311,1443,-0.023376828489157,-0.00586667639499486
"BASO","hetroscedastic","corSymm","Xanomeline Low Dose - Xanomeline High Dose","WEEK 8",-0.00655626637009197,0.00391907874216007,1443,-0.0157509194388473,0.00263838669866334
"BASO","hetroscedastic","corSymm","Placebo - Xanomeline Low Dose","WEEK 12",-0.00443076904300217,0.00388719800790309,1443,-0.0135506258878601,0.00468908780185574
"BASO","hetroscedastic","corSymm","Placebo - Xanomeline High Dose","WEEK 12",-0.0131288670462046,0.00388517619925454,1443,-0.0222439804729487,-0.00401375361946039
"BASO","hetroscedastic","corSymm","Xanomeline Low Dose - Xanomeline High Dose","WEEK 12",-0.00869809800320238,0.00414738490801593,1443,-0.0184283861348412,0.00103219012843644
"BASO","hetroscedastic","corSymm","Placebo - Xanomeline Low Dose","WEEK 16",-0.00355158393216979,0.00425739896290035,1443,-0.013539978913377,0.00643681104903738
"BASO","hetroscedastic","corSymm","Placebo - Xanomeline High Dose","WEEK 16",-0.00812070037414276,0.00435997514710807,1443,-0.0183497520221223,0.0021083512738368
"BASO","hetroscedastic","corSymm","Xanomeline Low Dose - Xanomeline High Dose","WEEK 16",-0.00456911644197297,0.0047889790751253,1443,-0.0158046654182194,0.00666643253427347
"BASO","hetroscedastic","corSymm","Placebo - Xanomeline Low Dose","WEEK 20",-0.00140305568354085,0.00414517837468143,1443,-0.0111281670096521,0.00832205564257042
"BASO","hetroscedastic","corSymm","Placebo - Xanomeline High Dose","WEEK 20",-0.0014499172003619,0.00408360672878967,1443,-0.0110305736787671,0.00813073927804325
"BASO","hetroscedastic","corSymm","Xanomeline Low Dose - Xanomeline High Dose","WEEK 20",-4.68615168210554e-05,0.00472038949446206,1443,-0.0111214906851684,0.0110277676515263
"BASO","hetroscedastic","corSymm","Placebo - Xanomeline Low Dose","WEEK 24",-0.00153165337295384,0.00430944375202392,1443,-0.0116421519942027,0.00857884524829503
"BASO","hetroscedastic","corSymm","Placebo - Xanomeline High Dose","WEEK 24",-0.00502256791364929,0.00413890718175235,1443,-0.0147329662301214,0.00468783040282279
"BASO","hetroscedastic","corSymm","Xanomeline Low Dose - Xanomeline High Dose","WEEK 24",-0.00349091454069545,0.00480738273815072,1443,-0.0147696408317768,0.00778781175038592
"BASO","hetroscedastic","corSymm","Placebo - Xanomeline Low Dose","WEEK 26",-0.000561494343104179,0.00421403541166164,1443,-0.0104481529633702,0.00932516427716187
"BASO","hetroscedastic","corSymm","Placebo - Xanomeline High Dose","WEEK 26",-0.00956808236290865,0.00415158305768754,1443,-0.0193082198832178,0.000172055157400494
"BASO","hetroscedastic","corSymm","Xanomeline Low Dose - Xanomeline High Dose","WEEK 26",-0.00900658801980447,0.00470976949046296,1443,-0.0200563013191977,0.00204312527958875
"EOS","hetroscedastic","corCAR1","Placebo - Xanomeline Low Dose","WEEK 2",-0.040197842985975,0.0162608934333578,1433,-0.0783482255539448,-0.00204746041800515
"EOS","hetroscedastic","corCAR1","Placebo - Xanomeline High Dose","WEEK 2",-0.0094610662615706,0.016282438863022,1433,-0.047661997490206,0.0287398649670648
"EOS","hetroscedastic","corCAR1","Xanomeline Low Dose - Xanomeline High Dose","WEEK 2",0.0307367767244044,0.0165257131341466,1433,-0.00803491075144374,0.0695084642002525
"EOS","hetroscedastic","corCAR1","Placebo - Xanomeline Low Dose","WEEK 4",-0.0380078492331169,0.0182481914413744,1433,-0.0808207172661762,0.00480501879994231
"EOS","hetroscedastic","corCAR1","Placebo - Xanomeline High Dose","WEEK 4",-0.0445978785508718,0.0182771587610418,1433,-0.0874787080604519,-0.00171704904129173
"EOS","hetroscedastic","corCAR1","Xanomeline Low Dose - Xanomeline High Dose","WEEK 4",-0.00659002931775487,0.0187153735333296,1433,-0.0504989733819399,0.0373189147464302
"EOS","hetroscedastic","corCAR1","Placebo - Xanomeline Low Dose","WEEK 6",-0.0884625925644068,0.0297234194692787,1433,-0.158197987401631,-0.018727197727183
"EOS","hetroscedastic","corCAR1","Placebo - Xanomeline High Dose","WEEK 6",-0.114739616079342,0.0294859642074856,1433,-0.183917906897816,-0.0455613252608676
"EOS","hetroscedastic","corCAR1","Xanomeline Low Dose - Xanomeline High Dose","WEEK 6",-0.0262770235149349,0.0307394613123392,1433,-0.0983961978890388,0.045842150859169
"EOS","hetroscedastic","corCAR1","Placebo - Xanomeline Low Dose","WEEK 8",-0.174466502728685,0.0300558626803195,1433,-0.244981856904264,-0.103951148553107
"EOS","hetroscedastic","corCAR1","Placebo - Xanomeline High Dose","WEEK 8",-0.109997539581697,0.0301438087057687,1433,-0.180719227716105,-0.0392758514472885
"EOS","hetroscedastic","corCAR1","Xanomeline Low Dose - Xanomeline High Dose","WEEK 8",0.0644689631469886,0.0316566320660471,1433,-0.00980202504211312,0.13873995133609
"EOS","hetroscedastic","corCAR1","Placebo - Xanomeline Low Dose","WEEK 12",-0.130202854467602,0.0241055886131451,1433,-0.1867580143293,-0.0736476946059041
"EOS","hetroscedastic","corCAR1","Placebo - Xanomeline High Dose","WEEK 12",-0.123154972845846,0.0241221728034528,1433,-0.179749041590835,-0.066560904100856
"EOS","hetroscedastic","corCAR1","Xanomeline Low Dose - Xanomeline High Dose","WEEK 12",0.00704788162175632,0.0256616703410611,1433,-0.0531580686144262,0.0672538318579388
"EOS","hetroscedastic","corCAR1","Placebo - Xanomeline Low Dose","WEEK 16",-0.0881490778876962,0.0222201999437169,1433,-0.1402808461736,-0.0360173096017924
"EOS","hetroscedastic","corCAR1","Placebo - Xanomeline High Dose","WEEK 16",-0.103974448996491,0.0227242761675517,1433,-0.157288852225642,-0.0506600457673395
"EOS","hetroscedastic","corCAR1","Xanomeline Low Dose - Xanomeline High Dose","WEEK 16",-0.0158253711087948,0.0249511120170651,1433,-0.0743642498517412,0.0427135076341516
"EOS","hetroscedastic","corCAR1","Placebo - Xanomeline Low Dose","WEEK 20",-0.083006963925389,0.0249443424638742,1433,-0.141529960327977,-0.0244839675228014
"EOS","hetroscedastic","corCAR1","Placebo - Xanomeline High Dose","WEEK 20",-0.0742658903635048,0.0248534330398477,1433,-0.132575600250203,-0.0159561804768065
"EOS","hetroscedastic","corCAR1","Xanomeline Low Dose - Xanomeline High Dose","WEEK 20",0.00874107356188423,0.02856359853329,1433,-0.0582732154148498,0.0757553625386183
"EOS","hetroscedastic","corCAR1","Placebo - Xanomeline Low Dose","WEEK 24",-0.0629373207862295,0.0245297393823346,1433,-0.120487599039017,-0.00538704253344217
"EOS","hetroscedastic","corCAR1","Placebo - Xanomeline High Dose","WEEK 24",-0.0721744105676471,0.0236904050291597,1433,-0.12775549033775,-0.0165933307975442
"EOS","hetroscedastic","corCAR1","Xanomeline Low Dose - Xanomeline High Dose","WEEK 24",-0.00923708978141752,0.0279991381728547,1433,-0.0749270739908081,0.0564528944279731
"EOS","hetroscedastic","corCAR1","Placebo - Xanomeline Low Dose","WEEK 26",-0.0660670800927877,0.0235768163723239,1433,-0.121381664621935,-0.01075249556364
"EOS","hetroscedastic","corCAR1","Placebo - Xanomeline High Dose","WEEK 26",-0.0465767014284306,0.0231142228440838,1433,-0.10080597535345,0.00765257249658856
"EOS","hetroscedastic","corCAR1","Xanomeline Low Dose - Xanomeline High Dose","WEEK 26",0.0194903786643571,0.027294948772568,1433,-0.044547476458071,0.0835282337867853
"EOS","hetroscedastic","corCompSymm","Placebo - Xanomeline Low Dose","WEEK 2",-0.0395986172622887,0.0162592451295265,1433,-0.0777451326736346,-0.00145210185094278
"EOS","hetroscedastic","corCompSymm","Placebo - Xanomeline High Dose","WEEK 2",-0.010168949245728,0.0162793397458258,1433,-0.048362609502006,0.02802471101055
"EOS","hetroscedastic","corCompSymm","Xanomeline Low Dose - Xanomeline High Dose","WEEK 2",0.0294296680165607,0.0165075611144589,1433,-0.00929943222394845,0.0681587682570699
"EOS","hetroscedastic","corCompSymm","Placebo - Xanomeline Low Dose","WEEK 4",-0.0369106297987445,0.0180006859605163,1433,-0.0791428145611639,0.00532155496367495
"EOS","hetroscedastic","corCompSymm","Placebo - Xanomeline High Dose","WEEK 4",-0.0416894794107457,0.0180122946031884,1433,-0.0839488997098133,0.000569940888321907
"EOS","hetroscedastic","corCompSymm","Xanomeline Low Dose - Xanomeline High Dose","WEEK 4",-0.00477884961200119,0.0185028490655428,1433,-0.0481891808672193,0.0386314816432169
"EOS","hetroscedastic","corCompSymm","Placebo - Xanomeline Low Dose","WEEK 6",-0.0862187388612066,0.0300911109520565,1433,-0.156816790525526,-0.0156206871968874
"EOS","hetroscedastic","corCompSymm","Placebo - Xanomeline High Dose","WEEK 6",-0.115161602122962,0.0298245327244068,1433,-0.185134223123781,-0.0451889811221427
"EOS","hetroscedastic","corCompSymm","Xanomeline Low Dose - Xanomeline High Dose","WEEK 6",-0.0289428632617554,0.031028025010357,1433,-0.101739049358476,0.0438533228349652
"EOS","hetroscedastic","corCompSymm","Placebo - Xanomeline Low Dose","WEEK 8",-0.175238511309787,0.0296070799532996,1433,-0.244700956996919,-0.105776065622655
"EOS","hetroscedastic","corCompSymm","Placebo - Xanomeline High Dose","WEEK 8",-0.113457877495675,0.0297080326741706,1433,-0.183157172710066,-0.0437585822812842
"EOS","hetroscedastic","corCompSymm","Xanomeline Low Dose - Xanomeline High Dose","WEEK 8",0.0617806338141116,0.0310541731482461,1433,-0.0110768995553157,0.134638167183539
"EOS","hetroscedastic","corCompSymm","Placebo - Xanomeline Low Dose","WEEK 12",-0.134474999613703,0.0246702792353755,1433,-0.192355004469862,-0.0765949947575453
"EOS","hetroscedastic","corCompSymm","Placebo - Xanomeline High Dose","WEEK 12",-0.127607699076916,0.024590597808323,1433,-0.185300759904563,-0.0699146382492683
"EOS","hetroscedastic","corCompSymm","Xanomeline Low Dose - Xanomeline High Dose","WEEK 12",0.00686730053678786,0.0259926851671751,1433,-0.0541152578423404,0.0678498589159161
"EOS","hetroscedastic","corCompSymm","Placebo - Xanomeline Low Dose","WEEK 16",-0.101133652611332,0.021640921553443,1433,-0.15190635091176,-0.0503609543109051
"EOS","hetroscedastic","corCompSymm","Placebo - Xanomeline High Dose","WEEK 16",-0.0981015669648623,0.0220225383106751,1433,-0.149769592778653,-0.0464335411510717
"EOS","hetroscedastic","corCompSymm","Xanomeline Low Dose - Xanomeline High Dose","WEEK 16",0.0030320856464702,0.0240024627721216,1433,-0.0532811262371652,0.0593452975301056
"EOS","hetroscedastic","corCompSymm","Placebo - Xanomeline Low Dose","WEEK 20",-0.0957250080430056,0.0220509840575632,1433,-0.147459771648951,-0.0439902444370598
"EOS","hetroscedastic","corCompSymm","Placebo - Xanomeline High Dose","WEEK 20",-0.0590270069154143,0.0217244454644944,1433,-0.109995664261588,-0.00805834956924063
"EOS","hetroscedastic","corCompSymm","Xanomeline Low Dose - Xanomeline High Dose","WEEK 20",0.0366980011275913,0.0246783949334618,1433,-0.0212010443174537,0.0945970465726363
"EOS","hetroscedastic","corCompSymm","Placebo - Xanomeline Low Dose","WEEK 24",-0.0693642272465429,0.0228440686089391,1433,-0.122959680682831,-0.0157687738102544
"EOS","hetroscedastic","corCompSymm","Placebo - Xanomeline High Dose","WEEK 24",-0.0673581934178379,0.0218386467738134,1433,-0.118594783375349,-0.0161216034603265
"EOS","hetroscedastic","corCompSymm","Xanomeline Low Dose - Xanomeline High Dose","WEEK 24",0.002006033828705,0.0253197442578897,1433,-0.0573977088943162,0.0614097765517262
"EOS","hetroscedastic","corCompSymm","Placebo - Xanomeline Low Dose","WEEK 26",-0.0743532158915576,0.0208717057543464,1433,-0.123321223869579,-0.0253852079135366
"EOS","hetroscedastic","corCompSymm","Placebo - Xanomeline High Dose","WEEK 26",-0.0527605892927094,0.0204790240347516,1433,-0.100807309772514,-0.00471386881290529
"EOS","hetroscedastic","corCompSymm","Xanomeline Low Dose - Xanomeline High Dose","WEEK 26",0.0215926265988482,0.0235422574062216,1433,-0.0336408776512018,0.0768261308488981
"EOS","hetroscedastic","corSymm","Placebo - Xanomeline Low Dose","WEEK 2",-0.0393675051044967,0.0155708453022641,1443,-0.075898672238604,-0.00283633797038937
"EOS","hetroscedastic","corSymm","Placebo - Xanomeline High Dose","WEEK 2",-0.00823547942845639,0.0155870664992299,1443,-0.0448047035367339,0.0283337446798211
"EOS","hetroscedastic","corSymm","Xanomeline Low Dose - Xanomeline High Dose","WEEK 2",0.0311320256760403,0.0158217632031194,1443,-0.00598782650342891,0.0682518778555095
"EOS","hetroscedastic","corSymm","Placebo - Xanomeline Low Dose","WEEK 4",-0.0385259154914714,0.017690866914043,1443,-0.0800309207393358,0.00297908975639299
"EOS","hetroscedastic","corSymm","Placebo - Xanomeline High Dose","WEEK 4",-0.0438236408412517,0.0177047663845019,1443,-0.085361256000046,-0.00228602568245739
"EOS","hetroscedastic","corSymm","Xanomeline Low Dose - Xanomeline High Dose","WEEK 4",-0.0052977253497803,0.018192681964837,1443,-0.0479800520041003,0.0373846013045397
"EOS","hetroscedastic","corSymm","Placebo - Xanomeline Low Dose","WEEK 6",-0.089026181168841,0.0297461509216522,1443,-0.158814403312262,-0.0192379590254195
"EOS","hetroscedastic","corSymm","Placebo - Xanomeline High Dose","WEEK 6",-0.11440461517549,0.0295074960679609,1443,-0.183632922929017,-0.045176307421963
"EOS","hetroscedastic","corSymm","Xanomeline Low Dose - Xanomeline High Dose","WEEK 6",-0.0253784340066489,0.0307885139064776,1443,-0.0976121711926948,0.0468553031793969
"EOS","hetroscedastic","corSymm","Placebo - Xanomeline Low Dose","WEEK 8",-0.17365884785849,0.0300004356517191,1443,-0.244043654053284,-0.103274041663695
"EOS","hetroscedastic","corSymm","Placebo - Xanomeline High Dose","WEEK 8",-0.112984519154019,0.0301012594634599,1443,-0.18360587072874,-0.0423631675792984
"EOS","hetroscedastic","corSymm","Xanomeline Low Dose - Xanomeline High Dose","WEEK 8",0.0606743287044702,0.0315456563414471,1443,-0.01333576013746,0.134684417546401
"EOS","hetroscedastic","corSymm","Placebo - Xanomeline Low Dose","WEEK 12",-0.130790840229338,0.0250354721396017,1443,-0.189527215760607,-0.0720544646980688
"EOS","hetroscedastic","corSymm","Placebo - Xanomeline High Dose","WEEK 12",-0.126897709011136,0.0250380063839187,1443,-0.185640030199233,-0.0681553878230379
"EOS","hetroscedastic","corSymm","Xanomeline Low Dose - Xanomeline High Dose","WEEK 12",0.00389313121820199,0.0265045974569109,1443,-0.0582899976180894,0.0660762600544934
"EOS","hetroscedastic","corSymm","Placebo - Xanomeline Low Dose","WEEK 16",-0.0934760739479679,0.0214772988726598,1443,-0.143864526178768,-0.0430876217171679
"EOS","hetroscedastic","corSymm","Placebo - Xanomeline High Dose","WEEK 16",-0.104652414994166,0.0217716624242048,1443,-0.155731481246936,-0.053573348741395
"EOS","hetroscedastic","corSymm","Xanomeline Low Dose - Xanomeline High Dose","WEEK 16",-0.0111763410461978,0.0235371567681784,1443,-0.0663974797235556,0.04404479763116
"EOS","hetroscedastic","corSymm","Placebo - Xanomeline Low Dose","WEEK 20",-0.0869831884923322,0.0225513264904574,1443,-0.139891444988782,-0.0340749319958828
"EOS","hetroscedastic","corSymm","Placebo - Xanomeline High Dose","WEEK 20",-0.0568328505913763,0.0223504344819086,1443,-0.109269789095916,-0.00439591208683698
"EOS","hetroscedastic","corSymm","Xanomeline Low Dose - Xanomeline High Dose","WEEK 20",0.0301503379009559,0.0253408323474565,1443,-0.0293024511950683,0.0896031269969801
"EOS","hetroscedastic","corSymm","Placebo - Xanomeline Low Dose","WEEK 24",-0.0715730973411803,0.0234799530599284,1443,-0.126660028903497,-0.0164861657788637
"EOS","hetroscedastic","corSymm","Placebo - Xanomeline High Dose","WEEK 24",-0.0704528849213888,0.0226291939372895,1443,-0.123543828270049,-0.0173619415727288
"EOS","hetroscedastic","corSymm","Xanomeline Low Dose - Xanomeline High Dose","WEEK 24",0.00112021241979156,0.0262732681980775,1443,-0.0605201887961678,0.062760613635751
"EOS","hetroscedastic","corSymm","Placebo - Xanomeline Low Dose","WEEK 26",-0.0752754783876486,0.0214195060067389,1443,-0.125528341265197,-0.0250226155101001
"EOS","hetroscedastic","corSymm","Placebo - Xanomeline High Dose","WEEK 26",-0.0482159473605067,0.0210270077461877,1443,-0.0975479598103678,0.00111606508935445
"EOS","hetroscedastic","corSymm","Xanomeline Low Dose - Xanomeline High Dose","WEEK 26",0.0270595310271419,0.0241917987504954,1443,-0.0296974803151089,0.0838165423693927
"HCT","hetroscedastic","corCAR1","Placebo - Xanomeline Low Dose","WEEK 2",0.00462358903497362,0.0042166308889658,1415,-0.00526936146567211,0.0145165395356193
